,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"30,578,000","27,390,000","20,853,000","20,405,000"
2,Cost of Revenue,"12,431,000","11,418,000","9,015,000","8,729,000"
3,Gross Profit,"18,147,000","15,972,000","11,838,000","11,676,000"
4,Operating Expenses,,,,
5,Research Development,"2,288,000","2,158,000","1,358,000","1,371,000"
6,Selling General and Administrative,"9,379,000","8,899,000","6,653,000","6,742,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"26,656,000","24,450,000","17,576,000","17,443,000"
10,Operating Income or Loss,"3,922,000","2,940,000","3,277,000","2,962,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-890,000","-709,000","-1,864,000","221,000"
13,Earnings Before Interest and Taxes,"3,922,000","2,940,000","3,277,000","2,962,000"
14,Interest Expense,"-719,000","-904,000","-431,000","-163,000"
15,Income Before Tax,"2,873,000","2,231,000","1,413,000","3,183,000"
16,Income Tax Expense,"539,000","1,878,000","350,000","577,000"
17,Minority Interest,-,"201,000","179,000","115,000"
18,Net Income From Continuing Ops,"2,334,000","353,000","1,063,000","2,606,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"34,000","124,000","337,000","1,817,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,368,000","477,000","1,400,000","4,423,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,368,000","468,000","1,393,000","4,403,000"
