,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"9,536,428","8,977,726","8,593,096","7,966,674"
2,Cost of Revenue,"4,496,462","4,257,043","4,084,085","3,804,031"
3,Gross Profit,"5,039,966","4,720,683","4,509,011","4,162,643"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"3,224,782","2,762,583","2,592,805","2,426,222"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"7,721,244","7,252,326","6,893,890","6,433,653"
10,Operating Income or Loss,"1,815,184","1,725,400","1,699,206","1,533,021"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-121,097","-87,596","-62,015","-72,655"
13,Earnings Before Interest and Taxes,"1,815,184","1,725,400","1,699,206","1,533,021"
14,Interest Expense,"-122,129","-91,349","-70,931","-57,129"
15,Income Before Tax,"1,694,087","1,637,804","1,637,191","1,460,366"
16,Income Tax Expense,"369,600","504,000","599,500","529,150"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,324,487","1,133,804","1,037,691","931,216"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,324,487","1,133,804","1,037,691","931,216"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,324,487","1,133,804","1,037,691","931,216"
