,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"4,265,000","4,107,000","3,328,000","2,890,000"
2,Cost of Revenue,-,-,-,-
3,Gross Profit,"4,265,000","4,107,000","3,328,000","2,890,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"2,279,000","2,204,000","1,915,000","1,683,000"
7,Non Recurring,-,-,-,-
8,Others,"213,000","222,000","170,000","162,000"
9,Total Operating Expenses,"2,492,000","2,426,000","2,085,000","1,845,000"
10,Operating Income or Loss,"1,773,000","1,681,000","1,243,000","1,045,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-145,000","-287,000","-323,000","-131,000"
13,Earnings Before Interest and Taxes,-,-,-,-
14,Interest Expense,-,-,-,-
15,Income Before Tax,"1,628,000","1,394,000","920,000","914,000"
16,Income Tax Expense,"235,000","208,000","208,000","221,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,393,000","1,186,000","712,000","693,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,393,000","1,186,000","712,000","693,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,323,000","1,110,000","647,000","661,000"
