,0,1,2,3,4
0,Revenue,9/3/2017,8/28/2016,8/30/2015,8/31/2014
1,Total Revenue,"129,025,000","118,719,000","116,199,000","112,640,000"
2,Cost of Revenue,"111,882,000","102,901,000","101,065,000","98,458,000"
3,Gross Profit,"17,143,000","15,818,000","15,134,000","14,182,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"12,950,000","12,068,000","11,445,000","10,899,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"124,914,000","115,047,000","112,575,000","109,420,000"
10,Operating Income or Loss,"4,111,000","3,672,000","3,624,000","3,220,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-72,000","-53,000","-20,000","-23,000"
13,Earnings Before Interest and Taxes,"4,111,000","3,672,000","3,624,000","3,220,000"
14,Interest Expense,"-134,000","-133,000","-124,000","-113,000"
15,Income Before Tax,"4,039,000","3,619,000","3,604,000","3,197,000"
16,Income Tax Expense,"1,325,000","1,243,000","1,195,000","1,109,000"
17,Minority Interest,"301,000","253,000","226,000","212,000"
18,Net Income From Continuing Ops,"2,714,000","2,376,000","2,409,000","2,088,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,679,000","2,350,000","2,377,000","2,058,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,679,000","2,350,000","2,377,000","2,058,000"
