,0,1,2,3,4
0,Revenue,5/27/2018,5/28/2017,5/29/2016,5/31/2015
1,Total Revenue,"8,080,100","7,170,200","6,933,500","6,764,000"
2,Cost of Revenue,"6,334,700","5,600,800","5,392,400","5,341,500"
3,Gross Profit,"1,745,400","1,569,400","1,541,100","1,422,500"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"642,700","627,400","622,900","673,500"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"7,290,500","6,501,100","6,305,500","6,334,300"
10,Operating Income or Loss,"789,600","669,100","628,000","429,700"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-183,900","-31,800","-178,300","-254,400"
13,Earnings Before Interest and Taxes,"789,600","669,100","628,000","429,700"
14,Interest Expense,"-59,700","-41,500","-66,800","-101,600"
15,Income Before Tax,"605,700","637,300","449,700","175,300"
16,Income Tax Expense,"1,900","154,800","90,000","-21,100"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"603,800","482,500","359,700","196,400"
19,Non-recurring Events,,,,
20,Discontinued Operations,"-7,800","-3,400","15,300","513,100"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"596,000","479,100","375,000","709,500"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"596,000","479,100","375,000","709,500"
