,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"23,747,000","22,849,000","22,991,000","21,662,000"
2,Cost of Revenue,"4,101,000","4,069,000","4,162,000","4,175,000"
3,Gross Profit,"19,646,000","18,780,000","18,829,000","17,487,000"
4,Operating Expenses,,,,
5,Research Development,"3,737,000","3,562,000","3,840,000","4,006,000"
6,Selling General and Administrative,"5,332,000","4,938,000","5,120,000","4,855,000"
7,Non Recurring,-,-,-,-
8,Others,"26,000","8,000","37,000","-3,000"
9,Total Operating Expenses,"13,196,000","12,577,000","13,159,000","13,033,000"
10,Operating Income or Loss,"10,551,000","10,272,000","9,832,000","8,629,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,006,000","-675,000","-669,000","-651,000"
13,Earnings Before Interest and Taxes,"10,551,000","10,272,000","9,832,000","8,629,000"
14,Interest Expense,"-1,392,000","-1,303,000","-1,259,000","-1,094,000"
15,Income Before Tax,"9,545,000","9,597,000","9,163,000","7,978,000"
16,Income Tax Expense,"1,151,000","7,618,000","1,441,000","1,039,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"8,394,000","1,979,000","7,722,000","6,939,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"8,394,000","1,979,000","7,722,000","6,939,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"8,394,000","1,979,000","7,722,000","6,939,000"
