,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"10,736,000","10,530,000","10,281,000","11,260,000"
2,Cost of Revenue,"8,162,000","8,043,000","7,898,000","8,597,000"
3,Gross Profit,"2,574,000","2,487,000","2,383,000","2,663,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"202,000","216,000","197,000","196,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"8,364,000","8,259,000","8,095,000","8,793,000"
10,Operating Income or Loss,"2,372,000","2,271,000","2,186,000","2,467,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-315,000","-1,429,000","-1,963,000","-1,373,000"
13,Earnings Before Interest and Taxes,"2,372,000","2,271,000","2,186,000","2,467,000"
14,Interest Expense,"-1,056,000","-1,170,000","-1,134,000","-1,145,000"
15,Income Before Tax,"2,057,000","842,000","223,000","1,094,000"
16,Income Tax Expense,"708,000","990,000","32,000","412,000"
17,Minority Interest,"2,456,000","2,440,000","2,966,000","3,100,000"
18,Net Income From Continuing Ops,"1,349,000","-148,000","191,000","682,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"218,000","-654,000","-1,110,000","-12,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,203,000","-1,161,000","-1,130,000","306,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,203,000","-1,161,000","-1,130,000","306,000"
