,assoc,values
0,they sell,thanks 2 sell/buy ratio activision blizzard inc. nasdaq atvi insider selling last three months picked buying .
1,they sell,insiders sell shares company stock generally one reason inside knowledge company prospects expect stock price decline soon .
2,they sell,"sold nearly 23,069 shares purchases amounted zero shares period ."
3,they sell,12-month totals signify 10.8-to-1 sell/buy ratio .
4,they sell,05/17/2018 zacconi riccardo ceo king sold 19.76 thousand shares price per share 70.49 .
5,they sell,wereb stephen g performs principal accounting officer job sold 120.52 thousand shares 8.72 million .
6,they sell,average consensus rating company 2.1 scale 5 equates unanimous sell rating .
7,they sell,short mean analyst recommendations calling stock sell .
8,they sell,every buyer needs someone sold shares bought must buyer order seller get rid shares .
9,they sell,according composite indicator trendspotter rated atvi stock sell .
10,they sell,"short-term activision blizzard inc. atvi 20-day average volume 9,402,720 shares short-term indicators sets atvi stock 80 sell average basis ."
11,they sell,"medium-term atvi stock 50-day average volume 7,583,124 shares medium-term indicators gave average rating 50 sell long-term period fb stock 100-day average volume 6,650,943 shares ."
12,they sell,average long-term indicators rated stock 33 sell .
13,they sell,overall picture short medium long-term indicators sets atvi stock 64 sell average basis .
14,they buy,wedbush example reiterated rating shares activision blizzard inc. outperform setting 100 price target shares company stock according research note monday november 5th 2018. btig research reiterated target price stock 80 88 giving stock buy rating stated research report tuesday october 16th 2018. barclays hand upgrade equal weight overweight rating stock posting 86 price target shares company stock research note dated monday october 15th 2018 .
15,they sell,meantime 48 new institutions bought shares activision blizzard inc. first time 25 institutions sold holdings company common stock .
16,they buy,256 institutions increased investment atvi stock 148 institutions decreased investment activision blizzard inc. atvi stock last quarter .
17,they sell,according composite indicator trendspotter rated atvi stock sell .
18,they sell,"short-term activision blizzard inc. atvi 20-day average volume 9,162,165 shares short-term indicators sets atvi stock 80 sell average basis ."
19,they sell,"medium-term atvi stock 50-day average volume 7,512,806 shares medium-term indicators gave average rating 50 sell long-term period fb stock 100-day average volume 6,622,615 shares ."
20,they sell,average long-term indicators rated stock 33 sell .
21,they sell,overall picture short medium long-term indicators sets atvi stock 64 sell average basis .
22,they buy,wedbush example reiterated rating shares activision blizzard inc. outperform setting 100 price target shares company stock according research note monday november 5th 2018. btig research reiterated target price stock 80 88 giving stock buy rating stated research report tuesday october 16th 2018. barclays hand upgrade equal weight overweight rating stock posting 86 price target shares company stock research note dated monday october 15th 2018 .
23,they sell,meantime 43 new institutions bought shares activision blizzard inc. first time 24 institutions sold holdings company common stock .
24,they buy,237 institutions increased investment atvi stock 138 institutions decreased investment activision blizzard inc. atvi stock last quarter .
25,they buy,average analysts currently strong buy recommendation mean rating 4.43. comparison average recommendation month ago moderate buy average rating 4.40. similarly average rating observed 2 months ago moderate buy mean numerical rating 4.30 average rating observed 3 months ago strong buy mean numerical rating 4.45 .
26,they buy,analysts btig research lifted target price shares activision blizzard inc. nasdaq atvi repeated buy recommendation stock opinion released october 16. price target raised 80 88 .
27,they buy,barclays analysts bumped recommendation atvi stock equal weight overweight separate flash note investors october 15 .
28,they sell,05/17/2018 zacconi riccardo ceo king sold 19.76 thousand shares price per share 70.49 .
29,they sell,wereb stephen g performs principal accounting officer job sold 120.52 thousand shares 8.72 million .
30,they sell,average consensus rating company 2.1 scale 5 equates unanimous sell rating .
31,they sell,short mean analyst recommendations calling stock sell .
