,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"27,058,000","25,348,000","24,124,000","23,321,000"
2,Cost of Revenue,"19,573,000","18,340,000","17,507,000","17,789,000"
3,Gross Profit,"7,485,000","7,008,000","6,617,000","5,532,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"4,177,000","3,690,000","3,322,000","2,614,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"23,750,000","22,030,000","20,829,000","20,403,000"
10,Operating Income or Loss,"3,308,000","3,318,000","3,295,000","2,918,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-161,000","-205,000","-210,000","-77,000"
13,Earnings Before Interest and Taxes,"3,308,000","3,318,000","3,295,000","2,918,000"
14,Interest Expense,"-184,000","-205,000","-232,000","-233,000"
15,Income Before Tax,"3,147,000","3,113,000","3,085,000","2,841,000"
16,Income Tax Expense,"264,000","1,114,000","873,000","747,000"
17,Minority Interest,"411,000","512,000","449,000","557,000"
18,Net Income From Continuing Ops,"2,883,000","1,999,000","2,212,000","2,094,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"-1,000","2,000","1,000","13,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,909,000","2,024,000","2,244,000","2,110,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,909,000","2,024,000","2,244,000","2,110,000"
