,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"9,407,000","9,256,000","9,498,000","6,101,000"
2,Cost of Revenue,"4,556,000","4,634,000","4,963,000","3,147,000"
3,Gross Profit,"4,851,000","4,622,000","4,535,000","2,954,000"
4,Operating Expenses,,,,
5,Research Development,"1,700,000","1,566,000","1,519,000","799,000"
6,Selling General and Administrative,"986,000","1,080,000","1,132,000","725,000"
7,Non Recurring,-,-,-,-
8,Others,"40,000","-2,000","-2,000","-2,000"
9,Total Operating Expenses,"8,731,000","8,703,000","9,052,000","4,894,000"
10,Operating Income or Loss,"676,000","553,000","446,000","1,207,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"1,758,000","1,236,000","-1,038,000","288,000"
13,Earnings Before Interest and Taxes,"676,000","553,000","446,000","1,207,000"
14,Interest Expense,"-273,000","-310,000","-408,000","-227,000"
15,Income Before Tax,"2,434,000","1,789,000","-592,000","1,495,000"
16,Income Tax Expense,"176,000","-483,000","-851,000","-104,000"
17,Minority Interest,"185,000","189,000","221,000","288,000"
18,Net Income From Continuing Ops,"2,258,000","2,272,000","259,000","1,599,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,208,000","2,215,000","200,000","1,526,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,208,000","2,215,000","200,000","1,526,000"
