,0,1,2,3,4
0,Revenue,3/31/2018,4/1/2017,4/2/2016,3/28/2015
1,Total Revenue,"4,718,600","4,493,700","4,712,100","4,371,500"
2,Cost of Revenue,"1,859,300","1,832,300","1,914,900","1,723,800"
3,Gross Profit,"2,859,300","2,661,400","2,797,200","2,647,700"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,766,800","1,541,200","1,428,000","1,251,500"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"3,834,700","3,593,300","3,526,100","3,113,700"
10,Operating Income or Loss,"883,900","900,400","1,186,000","1,257,800"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-142,100","-211,800","-13,700","-2,000"
13,Earnings Before Interest and Taxes,"883,900","900,400","1,186,000","1,257,800"
14,Interest Expense,"-22,300","-4,100","-1,700",-200
15,Income Before Tax,"741,800","688,600","1,172,300","1,255,800"
16,Income Tax Expense,"149,700","137,100","334,600","374,800"
17,Minority Interest,"3,800","2,400","3,800","3,800"
18,Net Income From Continuing Ops,"592,100","551,500","837,700","881,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"591,900","552,500","839,100","881,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"591,900","552,500","839,100","881,000"
