,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"11,290,000","10,116,000","9,390,000","9,111,000"
2,Cost of Revenue,"6,723,000","6,084,000","5,644,000","5,458,000"
3,Gross Profit,"4,567,000","4,032,000","3,746,000","3,653,000"
4,Operating Expenses,,,,
5,Research Development,"984,000","860,000","742,000","769,000"
6,Selling General and Administrative,"1,751,000","1,467,000","1,571,000","1,497,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"9,552,000","8,486,000","8,021,000","7,778,000"
10,Operating Income or Loss,"1,738,000","1,630,000","1,369,000","1,333,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-235,000","27,000","2,323,000","153,000"
13,Earnings Before Interest and Taxes,"1,738,000","1,630,000","1,369,000","1,333,000"
14,Interest Expense,"-191,000","-155,000","-159,000","-140,000"
15,Income Before Tax,"1,503,000","1,657,000","3,692,000","1,486,000"
16,Income Tax Expense,"437,000","2,154,000","-3,000","147,000"
17,Minority Interest,"94,000","72,000","67,000","75,000"
18,Net Income From Continuing Ops,"1,066,000","-497,000","3,695,000","1,339,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,066,000","-497,000","3,695,000","1,339,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"968,000","-595,000","3,597,000","1,241,000"
