,0,1,2,3,4
0,Revenue,12/29/2018,12/30/2017,12/31/2016,1/2/2016
1,Total Revenue,"4,070,400","4,000,300","3,711,800","3,593,100"
2,Cost of Revenue,"1,970,300","1,957,200","1,802,100","1,775,100"
3,Gross Profit,"2,100,100","2,043,100","1,909,700","1,818,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,144,600","1,116,000","1,054,800","1,053,700"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"3,115,100","3,073,200","2,856,900","2,828,800"
10,Operating Income or Loss,"955,300","927,100","854,900","764,300"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-44,700","-104,000","-51,000","-52,500"
13,Earnings Before Interest and Taxes,"955,300","927,100","854,900","764,300"
14,Interest Expense,"-50,400","-52,100","-51,900","-51,400"
15,Income Before Tax,"910,600","823,100","803,900","711,800"
16,Income Tax Expense,"214,400","250,900","244,300","221,200"
17,Minority Interest,"19,800","18,400","18,000","18,000"
18,Net Income From Continuing Ops,"696,200","572,200","559,600","490,600"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"679,900","557,700","546,400","478,700"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"679,900","557,700","546,400","478,700"
