,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"10,772,278","10,409,865","9,766,210","9,043,451"
2,Cost of Revenue,"6,423,190","6,085,733","5,616,867","5,186,475"
3,Gross Profit,"4,349,088","4,324,132","4,149,343","3,856,976"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"106,094","103,127","97,324","94,973"
7,Non Recurring,-,-,-,-
8,Others,"2,561,377","2,493,062","2,354,000","2,103,990"
9,Total Operating Expenses,"9,543,706","9,129,687","8,484,799","7,784,056"
10,Operating Income or Loss,"1,228,572","1,280,178","1,281,411","1,259,395"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-194,047","-145,169","-125,053","-113,494"
13,Earnings Before Interest and Taxes,"1,228,572","1,280,178","1,281,411","1,259,395"
14,Interest Expense,"-156,487","-145,250","-125,203","-113,773"
15,Income Before Tax,"1,034,525","1,135,009","1,156,358","1,145,901"
16,Income Tax Expense,"236,642","363,697","409,187","395,203"
17,Minority Interest,"80,823","68,624","73,693","302,023"
18,Net Income From Continuing Ops,"797,883","771,312","747,171","750,698"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"779,705","752,303","702,409","680,528"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"778,614","751,941","702,095","680,247"
