,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"13,692,000","13,166,000","12,671,000","12,519,000"
2,Cost of Revenue,"8,438,000","7,956,000","7,911,000","7,689,000"
3,Gross Profit,"5,254,000","5,210,000","4,760,000","4,830,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"2,212,000","2,124,000","1,961,000","1,971,000"
7,Non Recurring,-,-,-,-
8,Others,"-10,000","9,000","9,000","9,000"
9,Total Operating Expenses,"10,863,000","10,314,000","10,107,000","9,910,000"
10,Operating Income or Loss,"2,829,000","2,852,000","2,564,000","2,609,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-887,000","-672,000","-334,000","-799,000"
13,Earnings Before Interest and Taxes,"2,829,000","2,852,000","2,564,000","2,609,000"
14,Interest Expense,"-457,000","-411,000","-392,000","-363,000"
15,Income Before Tax,"1,942,000","2,180,000","2,230,000","1,810,000"
16,Income Tax Expense,"633,000","628,000","676,000","659,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,309,000","1,552,000","1,554,000","1,151,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"-952,000","-291,000","-141,000","1,808,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"357,000","1,261,000","1,413,000","2,959,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"357,000","1,261,000","1,413,000","2,959,000"
