,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"5,215,000","4,997,000","3,473,000","2,856,000"
2,Cost of Revenue,"1,306,000","1,411,000","901,000","733,000"
3,Gross Profit,"3,909,000","3,586,000","2,572,000","2,123,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,587,000","1,483,000","1,152,000","634,000"
7,Non Recurring,-,-,-,-
8,Others,"-425,000","-789,000","-509,000","-509,000"
9,Total Operating Expenses,"2,694,000","2,334,000","1,663,000","1,506,000"
10,Operating Income or Loss,"2,521,000","2,663,000","1,810,000","1,350,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-176,000","319,000","-571,000","-95,000"
13,Earnings Before Interest and Taxes,"2,521,000","2,663,000","1,810,000","1,350,000"
14,Interest Expense,"-340,000","-288,000","-234,000","-167,000"
15,Income Before Tax,"2,345,000","2,982,000","1,239,000","1,255,000"
16,Income Tax Expense,"438,000","1,523,000","431,000","396,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,907,000","1,459,000","808,000","859,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,907,000","1,459,000","808,000","859,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,907,000","1,459,000","808,000","859,000"
