,assoc,values
0,they buy,nli international inc decreased stake patterson companies inc pdco 51.16 based latest 2018q1 regulatory filing sec .
1,they sell,"nli international inc sold 63,330 shares company stock declined 32.95 market ."
2,they buy,"institutional investor held 60,470 shares health care company end 2018q1 valued 1.34 million 123,800 end previous reported quarter ."
3,they sell,nli international inc investing patterson companies inc number months seems less bullish one 2.23 billion market cap company .
4,they buy,stock increased 1.01 0.24 last trading session reaching 23.92 .
5,they buy,1.04m shares traded .
6,they buy,patterson companies inc. nasdaq pdco declined 51.53 since august 29 2017 downtrending .
7,they buy,underperformed 64.10 p500 .
8,they buy,historical pdco news 09/05/2018 kayne anderson rudnick inv mgmt exits position patterson cos 14/05/2018 bragar eagel squire p.c .
9,they buy,reminds investors class action lawsuit filed patterson companies inc. pdco encourages investors contact firm 23/05/2018 patterson zurbay would entitled severance including 1.5 times then-current base salary terminated without cause 03/05/2018 patterson announces dental leadership transition 07/03/2018 u.s. health care services barclays says least positive medical/dental distributors 10/05/2018 klein law firm reminds investors class action filed behalf patterson companies inc. shareholders lead pla 30/03/2018 gainey mckenna egleston announces class action lawsuit filed patterson companies inc. pdco 12/03/2018 scott+scott attorneys law llp announces investigation patterson companies inc. pdco 17/04/2018 klein law firm announces commencement class action filed behalf patterson companies inc. shareholders lead plaintiff deadline may 29 2018 20/04/2018 texas ag attorney general paxton reaches settlement patterson companies dental supply boycott davis capital partners llc decreased stake bofi hldg inc bofi 25 based latest 2018q1 regulatory filing sec .
10,they sell,"davis capital partners llc sold 500,000 shares company stock rose 6.25 stock markets declined ."
11,they buy,hedge fund held 1.50 million shares finance company end 2018q1 valued 60.80 million 2.00 million end previous reported quarter .
12,they sell,davis capital partners llc investing bofi hldg inc number months seems less bullish one 2.27b market cap company .
13,they buy,stock decreased 3.42 1.28 last trading session reaching 36.19 .
14,they buy,"382,439 shares traded ."
15,they buy,bofi holding inc. nasdaq bofi risen 80.92 since august 29 2017 uptrending .
16,they buy,outperformed 68.35 p500 .
17,they buy,historical bofi news 26/04/2018 bofi holding inc bofi.o tangible book value increased 14.49 per share march 31 2018 2.05 per share compared march 31 2017 03/05/2018 bofl federal bank rebrands mobile app realtors 27/04/2018 bofi holding inc bofi.o kbw raises target price 47 45 03/05/2018 bank internet federal investigation appears multiple kushner deals 30/04/2018 jesse eisinger scoop bofi bank internet multiple recent business connections jared kushner company .
18,they buy,"bofi 26/04/2018 bofi holding inc qtrly net interest income 116.7 mln vs 88.6 mln 05/04/2018 bofi holding inc bofi.o compass point raises target price 47 40 25/04/2018 bofi holding inc. named top 5 public thrift tenth consecutive year 20/04/2018 dj bofi holding inc inst holders 1q 2018 bofi 04/04/2018 bofi holding expects deal immediately add earnings nli international inc manages 9.21b 1.22b us long portfolio upped stake pioneer nat res co nyse pxd 1,910 shares 7,670 shares valued 1.32m 2018q1 according filing ."
19,they buy,"also increased holding honeywell intl inc nyse hon 5,960 shares quarter total 117,400 shares risen stake stanley black decker inc nyse swk ."
20,they buy,news patterson companies inc. nasdaq pdco recently published businesswire.com released patterson companies first-quarter fiscal 2019 conference call scheduled thursday august 30 2018 august 09 2018. seekingalpha.com article titled patterson companies value trap published august 20 2018 yet another important article .
21,they sell,among 19 analysts covering patterson companies inc. nasdaq pdco 3 buy rating 6 sell 10 hold .
22,they buy,therefore 16 positive .
23,they buy,patterson companies inc. 51 analyst reports since august 28 2015 according sratingsintel .
24,they buy,firm hold rating given wednesday november 22 jefferies .
25,they sell,firm earned underweight rating wednesday december 6 morgan stanley .
26,they buy,company maintained tuesday april 3 piper jaffray .
27,they buy,per thursday february 15 company rating downgraded jp morgan .
28,they buy,firm buy rating robert w. baird given wednesday november 22. ubs initiated patterson companies inc. nasdaq pdco thursday october 6 neutral rating .
29,they sell,rating maintained stifel nicolaus sell wednesday august 9. piper jaffray maintained patterson companies inc. nasdaq pdco thursday march 1 hold rating .
30,they sell,thursday june 7 stock rating maintained jp morgan underweight .
31,they sell,rating downgraded stifel nicolaus sell thursday july 6 .
32,they buy,investors sentiment increased 1.26 q1 2018.
33,they buy,0.26 1 2017q4 .
34,they sell,improved 68 investors sold pdco shares 74 reduced holdings .
35,they buy,48 funds opened positions 131 raised stakes .
36,they buy,82.52 million shares 5.42 less 87.24 million shares 2017q4 reported .
37,they buy,panagora asset mgmt invested 0.02 portfolio patterson companies inc. nasdaq pdco .
38,they buy,"federated invsts pa holds 35,918 shares 0 portfolio ."
39,they buy,benjamin f edwards invested 0.02 portfolio patterson companies inc. nasdaq pdco .
40,they buy,"bridgewater limited partnership holds 41,438 shares ."
41,they buy,"manufacturers life insur com holds 633,068 shares 0.02 portfolio ."
42,they buy,"country club tru na reported 11,235 shares 0.03 holdings ."
43,they buy,"credit suisse ag holds 0.01 patterson companies inc. nasdaq pdco 277,905 shares ."
44,they buy,farmers merchants invests inc 0 invested patterson companies inc. nasdaq pdco 62 shares .
45,they buy,"swiss national bank reported 150,100 shares 0 holdings ."
46,they buy,shapiro capital limited liability corp holds 2.70 million shares .
47,they buy,new york-based laurion mgmt ltd partnership invested 0.01 patterson companies inc. nasdaq pdco .
48,they buy,fairpointe capital ltd liability com reported 2.23 portfolio patterson companies inc. nasdaq pdco .
49,they buy,brown advisory invested 0 portfolio patterson companies inc. nasdaq pdco .
