,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"22,871,300","21,222,100","19,958,700","19,615,600"
2,Cost of Revenue,"6,070,200","5,654,900","5,037,200","4,932,500"
3,Gross Profit,"16,801,100","15,567,200","14,921,500","14,683,100"
4,Operating Expenses,,,,
5,Research Development,"5,281,800","5,243,900","4,796,400","4,733,600"
6,Selling General and Administrative,"6,588,100","6,452,000","6,533,000","6,620,800"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"17,940,100","17,350,800","16,366,600","16,286,900"
10,Operating Income or Loss,"4,931,200","3,871,300","3,592,100","3,328,700"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-2,733,800","-497,300","-802,100","-328,400"
13,Earnings Before Interest and Taxes,"4,931,200","3,871,300","3,592,100","3,328,700"
14,Interest Expense,"-225,000","-185,200","-161,200","-148,800"
15,Income Before Tax,"2,197,400","3,374,000","2,790,000","3,000,300"
16,Income Tax Expense,"2,401,500","636,400","381,600","609,800"
17,Minority Interest,"75,700","72,800","19,000","14,900"
18,Net Income From Continuing Ops,"-204,100","2,737,600","2,408,400","2,390,500"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"-204,100","2,737,600","2,408,400","2,390,500"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"-204,100","2,737,600","2,408,400","2,390,500"
