,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"2,935,586","2,725,053","2,508,257","2,395,447"
2,Cost of Revenue,"1,251,208","1,149,302","1,070,525","1,043,454"
3,Gross Profit,"1,684,378","1,575,751","1,437,732","1,351,993"
4,Operating Expenses,,,,
5,Research Development,"141,071","128,308","119,196","119,076"
6,Selling General and Administrative,"806,602","790,861","735,558","700,810"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"2,246,405","2,111,142","1,961,331","1,894,291"
10,Operating Income or Loss,"689,181","613,911","546,926","501,156"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-37,323","-39,689","-42,733","-37,732"
13,Earnings Before Interest and Taxes,"689,181","613,911","546,926","501,156"
14,Interest Expense,"-34,511","-32,785","-28,026","-27,451"
15,Income Before Tax,"651,858","574,222","504,193","463,424"
16,Income Tax Expense,"139,247","198,250","119,823","110,604"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"512,611","375,972","384,370","352,820"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"512,611","375,972","384,370","352,820"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"512,611","375,972","384,370","352,820"
