,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"10,040,900","10,041,500","9,387,700","9,115,000"
2,Cost of Revenue,"6,150,000","6,214,600","5,764,000","5,568,600"
3,Gross Profit,"3,890,900","3,826,900","3,623,700","3,546,400"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,059,500","1,057,400","969,800","983,100"
7,Non Recurring,-,-,-,-
8,Others,"80,700","79,800","79,100","79,400"
9,Total Operating Expenses,"8,323,600","8,388,100","7,804,000","7,601,700"
10,Operating Income or Loss,"1,717,300","1,653,400","1,583,700","1,513,300"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-396,400","-371,300","-617,800","-317,400"
13,Earnings Before Interest and Taxes,"1,717,300","1,653,400","1,583,700","1,513,300"
14,Interest Expense,"-383,800","-366,100","-375,700","-362,600"
15,Income Before Tax,"1,320,900","1,282,100","965,900","1,195,900"
16,Income Tax Expense,"283,300","3,100","352,700","445,500"
17,Minority Interest,"2,400","2,300","2,400","2,500"
18,Net Income From Continuing Ops,"1,037,600","1,279,000","613,200","750,400"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,036,900","1,278,400","612,600","749,900"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,036,900","1,278,400","612,600","749,900"
