,0,1,2,3,4
0,Revenue,3/31/2018,3/31/2017,3/31/2016,3/31/2015
1,Total Revenue,"208,357,000","198,533,000","190,884,000","179,045,000"
2,Cost of Revenue,"197,173,000","187,262,000","179,442,000","167,633,000"
3,Gross Profit,"11,184,000","11,271,000","11,442,000","11,412,000"
4,Operating Expenses,,,,
5,Research Development,"125,000","341,000","392,000","392,000"
6,Selling General and Administrative,"8,138,000","7,460,000","7,379,000","7,901,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"205,436,000","195,063,000","187,213,000","175,926,000"
10,Operating Income or Loss,"2,921,000","3,470,000","3,671,000","3,119,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-2,682,000","3,421,000","-421,000","-462,000"
13,Earnings Before Interest and Taxes,"2,921,000","3,470,000","3,671,000","3,119,000"
14,Interest Expense,"-283,000","-308,000","-353,000","-374,000"
15,Income Before Tax,"239,000","6,891,000","3,250,000","2,657,000"
16,Income Tax Expense,"-53,000","1,614,000","908,000","815,000"
17,Minority Interest,"1,712,000","1,505,000","1,490,000","1,470,000"
18,Net Income From Continuing Ops,"292,000","5,277,000","2,342,000","1,842,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"5,000","-124,000","-32,000","-299,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"67,000","5,070,000","2,258,000","1,476,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"67,000","5,070,000","2,258,000","1,476,000"
