,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"7,648,500","7,472,300","5,926,100","4,997,100"
2,Cost of Revenue,"4,869,800","4,832,900","3,949,400","3,371,800"
3,Gross Profit,"2,778,700","2,639,400","1,976,700","1,625,300"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,-,"37,600","36,200","36,200"
7,Non Recurring,-,-,-,-
8,Others,"194,900","194,700","164,400","121,800"
9,Total Operating Expenses,"5,863,300","5,790,200","4,675,600","3,885,000"
10,Operating Income or Loss,"1,785,200","1,682,100","1,250,500","1,112,100"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-198,000","-176,600","-178,200","-162,100"
13,Earnings Before Interest and Taxes,"1,785,200","1,682,100","1,250,500","1,112,100"
14,Interest Expense,"-416,900","-403,900","-333,200","-241,500"
15,Income Before Tax,"1,587,200","1,505,500","1,072,300","950,000"
16,Income Tax Expense,"383,500","566,500","433,800","361,700"
17,Minority Interest,"30,400","30,400","30,400","30,400"
18,Net Income From Continuing Ops,"1,203,700","939,000","638,500","588,300"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,203,700","939,000","638,500","588,300"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,203,700","939,000","638,500","588,300"
