,0,1,2,3,4
0,Revenue,10/31/2017,10/31/2016,10/31/2015,10/31/2014
1,Total Revenue,"2,139,000","1,966,800","1,797,100","1,717,776"
2,Cost of Revenue,"761,700","730,400","664,500","609,706"
3,Gross Profit,"1,377,300","1,236,400","1,132,600","1,108,070"
4,Operating Expenses,,,,
5,Research Development,"69,200","65,000","65,000","65,659"
6,Selling General and Administrative,"769,000","698,700","661,000","638,615"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"1,668,300","1,554,900","1,442,000","1,349,690"
10,Operating Income or Loss,"470,700","411,900","355,100","368,086"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-76,700","-116,300","-139,600","-71,552"
13,Earnings Before Interest and Taxes,"470,700","411,900","355,100","368,086"
14,Interest Expense,"-33,400","-26,200","-18,100","-7,965"
15,Income Before Tax,"394,000","295,600","215,500","296,534"
16,Income Tax Expense,"21,100","20,700","10,400","24,705"
17,Minority Interest,100,100,"6,395","18,562"
18,Net Income From Continuing Ops,"372,900","274,900","205,100","271,829"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"372,900","273,900","203,500","269,856"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"372,900","273,900","203,500","269,856"
