,assoc,values
0,they sell,"capital counsel llc sold 122,278 shares company stock rose 8.53 market ."
1,they buy,stock increased 0.82 1.5 last trading session reaching 184.89 .
2,they buy,1.28 22/05/2018 ecolab new smartpower™ program provides maximum warewashing efficiency restaurant operators 07/03/2018 ecolab sells china industrial phosphonate chemical component 18/04/2018 ecolab revises 2017 eps 5.12 5.13 07/03/2018 ecolab retained jianghai service formulated business 07/03/2018 ecolab sells china industrial phosphonate chem component business 30/04/2018 ecolab provided 665 tons in-kind product donations 2017 aid global disaster relief 09/05/2018 ecolab barclays americas select franchise conference may 15 08/03/2018 ecolab closes 50-day moving average technicals hellman jordan management company inc increased stake american airlines group inc aal 89.37 based latest 2018q4 regulatory filing sec .
3,they buy,"hellman jordan management company inc bought 20,154 shares company stock declined 13.41 stock markets rallied ."
4,they buy,"historical aal news 07/03/2018 booking.com announces ultimate book u.s list featuring basketball suite americanairlines arena 26/04/2018 aal 12 fuel price rise last 2 weeks led eps guide cut 11/05/2018 chicagobreaking american airlines adds five gates hare 10/04/2018 american airlines group inc expects spend 2.5 bln aircraft 1.8 bln non-aircraft capex 2019 26/04/2018 american airlines group 1q adj eps 75c 24/05/2018 aal adds refueling stops flights brasilia fuel woes 09/05/2018 u.s. transportation department conducting audit faa oversight 23/03/2018 boeing expected win order 787 american airlines beating airbus a330neo 04/05/2018 media-american airlines end regional deals expressjet trans states bloomberg 26/04/2018 american airlines group inc higher fuel prices led decline year-over-year earnings qtr since october 29 2018 1 buy 0 sales 535,301 activity ."
5,they buy,"benjamin jeffrey bought 535,301 worth stock 15,000 shares ."
6,they buy,since november 7 2018 1 insider buy 2 selling transactions 6.69 million activity .
7,they buy,"maclennan david bought 171,050 worth stock ."
8,they sell,"another trade 40,025 shares valued 6.41 million sold baker douglas jr ."
9,they buy,investors sentiment increased 1.01 2018 q4 .
10,they sell,positive 41 investors sold ecl shares 311 reduced holdings .
11,they buy,next fin invested 0.02 portfolio ecolab inc. nyse ecl .
12,they buy,sheets smith wealth invested 2.1 portfolio ecolab inc. nyse ecl .
13,they buy,"ing groep nv invested 3,606 shares 0.01 stock ."
14,they buy,private tru company na invested 0.2 ecolab inc. nyse ecl .
15,they buy,hanson mcclain inc invested 0 ecolab inc. nyse ecl .
16,they buy,moreover cantillon cap mngmt ltd limited liability company 4.15 invested ecolab inc. nyse ecl .
17,they sell,several institutional investors hedge funds also recently bought sold shares business .
18,they sell,zacks investment research downgraded shares ecolab hold rating sell rating research note monday december 31st .
19,they buy,boenning scattergood reaffirmed buy rating set 210.00 price target shares ecolab research note tuesday february 5th .
20,they buy,jpmorgan chase co. downgraded shares ecolab overweight rating neutral rating upped price target company 157.00 167.00 research note wednesday february 20th .
21,they buy,finally canaccord genuity reaffirmed buy rating set 186.00 price target previously 160.00 shares ecolab research note wednesday february 20th .
22,they sell,one equities research analyst rated stock sell rating ten assigned hold rating six issued buy rating stock .
23,they sell,"related news insider thomas w. handley sold 72,526 shares firm stock transaction dated monday march 18th ."
24,they sell,"shares sold average price 174.18 total value 12,632,578.68 ."
25,they sell,"also evp roberto inchaustegui sold 37,200 shares firm stock transaction dated monday march 4th ."
26,they sell,"stock sold average price 169.08 total transaction 6,289,776.00 ."
27,they sell,"insiders sold total 303,489 shares company stock worth 51,945,415 last ninety days ."
28,they sell,sell-side analysts forecast ecolab inc. post 5.91 eps current fiscal year .
29,they sell,"ls investment advisors llc sold 7,887 shares company stock rose 8.53 market ."
30,they buy,stock increased 0.82 1.5 last trading session reaching 184.89 .
31,they buy,since november 7 2018 1 buy 2 insider sales 6.69 million activity .
32,they sell,"450,884 worth ecolab inc. nyse ecl sold biller leslie s. maclennan david bought 171,050 worth ecolab inc. nyse ecl wednesday march 6 ."
33,they buy,"also increased holding illinois tool works inc nyse itw 2,639 shares quarter total 31,170 shares risen stake home depot nyse hd ."
34,they buy,investors sentiment increased 1.01 q4 2018.
35,they sell,positive 41 investors sold ecl shares 311 reduced holdings .
36,they buy,lmr prtnrs llp 0.09 invested ecolab inc. nyse ecl .
37,they buy,ontario canada-based financial bank nova scotia invested 0.04 ecolab inc. nyse ecl .
38,they buy,"loring wolcott coolidge fiduciary limited liability partnership invested 457,521 shares 1.22 stock ."
39,they buy,moreover kcm advisors ltd llc 1.02 invested ecolab inc. nyse ecl .
40,they buy,maryland-based brown advisory invested 0.33 ecolab inc. nyse ecl .
41,they buy,"brinker invested 71,202 shares 0.46 stock ."
42,they buy,"tiedemann advsrs lc owns 0.09 invested ecolab inc. nyse ecl 11,950 shares ."
43,they buy,morgan stanley invested 0.13 ecolab inc. nyse ecl .
44,they buy,amp cap ltd invested 0.16 ecolab inc. nyse ecl .
45,they buy,investors sentiment increased 1.05 2018 q4 .
46,they sell,positive 42 investors sold ppl shares 207 reduced holdings .
47,they buy,nordea inv management ab invested 0.58 portfolio ppl corporation nyse ppl .
48,they buy,oregon-based baker ellis asset mgmt limited company invested 0.33 ppl corporation nyse ppl .
49,they buy,british columbia invest mgmt corp invested 0.05 ppl corporation nyse ppl .
50,they sell,zacks investment research downgraded shares ecolab hold rating sell rating research report wednesday january 16th .
51,they buy,boenning scattergood reiterated buy rating issued 210.00 target price shares ecolab research report tuesday february 5th .
52,they buy,finally edward jones downgraded shares ecolab buy rating hold rating research report friday april 5th .
53,they sell,one research analyst rated stock sell rating ten given hold rating six assigned buy rating company .
54,they sell,"news ceo douglas m. baker jr. sold 157,125 shares firm stock transaction friday march 1st ."
55,they sell,"shares sold average price 170.14 total transaction 26,733,247.50 ."
56,they sell,"also insider thomas w. handley sold 72,526 shares firm stock transaction monday march 18th ."
57,they sell,"shares sold average price 174.18 total transaction 12,632,578.68 ."
58,they sell,"insiders sold total 303,489 shares company stock worth 51,945,415 last 90 days ."
59,they buy,search ukraine coal mine ends blast death toll 17 private capital group llc increased stake ecolab inc. nyse ecl 32.5 1st quarter according company recent disclosure securities exchange commission .
60,they buy,"municipal employees retirement system michigan bought new position ecolab fourth quarter valued approximately 1,014,000 ."
61,they sell,sell-side analysts anticipate ecolab inc. post 5.91 eps current fiscal year .
62,they sell,zacks investment research cut shares ecolab hold rating sell rating research report wednesday .
63,they buy,nomura raised ecolab neutral rating buy rating increased price objective company 170.00 210.00 research note thursday april 18th .
64,they buy,ubs group lowered ecolab buy rating neutral rating increased price objective company 180.00 186.00 research note thursday april 18th .
65,they buy,edward jones lowered ecolab buy rating hold rating research note friday april 5th .
66,they buy,finally canaccord genuity reissued buy rating set 186.00 price objective previously 160.00 shares ecolab research note wednesday february 20th .
67,they sell,one research analyst rated stock sell rating ten assigned hold rating six given buy rating company stock .
68,they sell,"related news evp angela m. busch sold 3,027 shares firm stock transaction wednesday march 13th ."
69,they sell,"stock sold average price 172.26 total value 521,431.02 ."
70,they sell,"also evp timothy p. mulhere sold 11,600 shares stock transaction monday march 18th ."
71,they sell,"stock sold average price 174.39 total value 2,022,924.00 ."
72,they sell,"insiders sold 303,489 shares company stock valued 51,945,415 last ninety days ."
73,they sell,zimmer biomet holdings inc zbh shares sold nicolet bankshares inc .
74,they sell,"harvey investment co llc sold 2,754 shares company stock rose 8.53 market ."
75,they buy,stock increased 0.82 1.5 last trading session reaching 184.89 .
76,they sell,historical ecl news 07/03/2018 press release ecolab sells china industrial phosphonate chemical component business 08/03/2018 ecolab closes 50-day moving average technicals 01/05/2018 ecolab 1q net 247.3m 07/03/2018 ecolab sold phosphonate component business china italmatch chemicals spa 22/05/2018 ecolab new smartpower™ program provides maximum warewashing efficiency restaurant operators 14/05/2018 ecolab presenting barclays conference tomorrow 19/04/2018 ecolab launches cleanroom portfolio north america 18/04/2018 ecolab adopts accounting standards codification topic 606 revenue contracts customers 17/04/2018 republican tim pawlenty brings former ecolab executive james seifert gubernatorial campaign chairman 01/05/2018 ecolab sees 12c-15c/share charges 2018 kerrisdale advisers llc decreased stake luxoft hldg inc lxft 36.63 based latest 2018q4 regulatory filing sec .
77,they sell,"kerrisdale advisers llc sold 203,034 shares company stock rose 78.70 market ."
78,they buy,"also increased holding momo inc 396,550 shares quarter total 431,869 shares risen stake sea ltd ."
79,they buy,since november 7 2018 1 buy 2 selling transactions 6.69 million activity .
80,they sell,"40,025 shares sold baker douglas jr worth 6.41m wednesday november 7 ."
81,they buy,"1,000 ecolab inc. nyse ecl shares value 171,050 bought maclennan david ."
82,they buy,"also increased holding ulta beauty incorporated nasdaq ulta 30,950 shares quarter total 36,352 shares risen stake swift transn hldgs inc ."
83,they buy,investors sentiment increased 1.01 2018 q4 .
84,they sell,increased 41 investors sold ecl shares 311 reduced holdings .
85,they buy,new york-based lipe dalton invested 0.93 ecolab inc. nyse ecl .
86,they sell,"ecolab news insider thomas w. handley sold 72,526 shares ecolab stock transaction monday march 18th ."
87,they sell,"stock sold average price 174.18 total value 12,632,578.68 ."
88,they sell,"also evp roberto inchaustegui sold 37,200 shares ecolab stock transaction monday march 4th ."
89,they sell,"stock sold average price 169.08 total value 6,289,776.00 ."
90,they sell,"last ninety days insiders sold 303,489 shares company stock valued 51,945,415 ."
91,they sell,"alta capital management llc sold 101,126 shares company stock rose 8.53 market ."
92,they buy,stock increased 0.35 0.64 last trading session reaching 184.03 .
93,they sell,historical ecl news 07/03/2018 ecolab sold phosphonate component business china italmatch chemicals spa 08/05/2018 ecolab schedules webcast industry conference may 15 2018 01/05/2018 ecolab raised full yr 2018 adjusted diluted eps forecast 5.30 5.50 14/05/2018 ecolab presenting barclays conference tomorrow 19/04/2018 ecolab inc ecl.n nomura raises target price 136 125 03/05/2018 ecolab declares regular dividend 01/05/2018 ecolab sees 2q adj eps 1.23 1.29 est .
94,they sell,"blue chip partners inc sold 4,088 shares company stock declined 6.08 stock markets rallied ."
95,they buy,stock increased 0.40 0.45 last trading session reaching 114.06 .
96,they buy,historical jpm news 14/05/2018 visa presenting jpmorgan conference tomorrow 06/04/2018 trade war greatest threat world economy yet yet jp morgan frenkel says 16/04/2018 chase marriott announce marriott rewards premier plus credit card new card value access 19/04/2018 sprint presenting jpmorgan conference may 15 05/03/2018 amazon talks offer bank accounts jpmorgan 13/04/2018 dow drops 150 points led jp morgan 28/03/2018 citigroup said add jpmorgan jeong equity derivatives 06/04/2018 trade war greatest threat world economy jp morgan frenkel says 08/03/2018 jpmorgan ultra-short income etf 200-d-ma technicals 08/05/2018 verifi appoints gabe mcgloin head international merchant sales business development investors sentiment increased 1.01 2018 q4 .
97,they sell,improved 41 investors sold ecl shares 311 reduced holdings .
98,they buy,aperio grp inc inc ltd company 0.17 invested ecolab inc. nyse ecl .
99,they buy,"louisiana state employees retirement owns 0.11 invested ecolab inc. nyse ecl 13,300 shares ."
100,they buy,moreover ogorek anthony joseph adv 0.02 invested ecolab inc. nyse ecl 172 shares .
101,they buy,"cwm ltd limited liability company owns 0.01 invested ecolab inc. nyse ecl 3,802 shares ."
102,they buy,national asset mgmt 0.06 invested ecolab inc. nyse ecl .
103,they buy,illinois-based envestnet asset invested 0.06 ecolab inc. nyse ecl .
104,they buy,financial bank ny mellon corp invested 0.19 ecolab inc. nyse ecl .
105,they buy,"ingalls snyder ltd llc invested 11,361 shares 0.09 stock ."
106,they sell,"insider biller leslie sold 2,811 shares worth 450,884 ."
107,they sell,baker douglas jr also sold 6.41m worth ecolab inc. nyse ecl shares .
108,they buy,"also increased holding cognizant tech solutns nasdaq ctsh 41,056 shares quarter total 724,334 shares risen stake p global inc ."
