,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"9,983,634","9,491,290","8,959,087","8,071,563"
2,Cost of Revenue,"7,145,564","6,445,551","6,107,958","5,602,024"
3,Gross Profit,"2,838,070","3,045,739","2,851,129","2,469,539"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,742,744","1,629,326","1,562,658","1,421,589"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"8,888,308","8,074,877","7,670,616","7,023,613"
10,Operating Income or Loss,"1,095,326","1,416,413","1,288,471","1,047,950"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-46,125","-98,556","-47,346","-299,089"
13,Earnings Before Interest and Taxes,"1,095,326","1,416,413","1,288,471","1,047,950"
14,Interest Expense,"-38,827","-31,111","-40,547","-71,086"
15,Income Before Tax,"1,049,201","1,317,857","1,241,125","748,861"
16,Income Tax Expense,"184,346","343,165","307,559","131,875"
17,Minority Interest,-,"37,310","30,732","28,642"
18,Net Income From Continuing Ops,"864,855","974,692","933,566","616,986"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"861,704","971,638","930,362","615,302"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"861,704","971,592","930,239","615,108"
