,0,1,2,3,4
0,Revenue,12/31/2017,1/1/2017,1/3/2016,12/28/2014
1,Total Revenue,"2,256,982","2,115,517","2,104,823","2,069,880"
2,Cost of Revenue,"1,177,763","1,101,768","1,133,317","1,132,857"
3,Gross Profit,"1,079,219","1,013,749","971,506","937,023"
4,Operating Expenses,,,,
5,Research Development,"139,404","124,278","112,539","108,057"
6,Selling General and Administrative,"600,506","583,502","585,700","647,870"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"1,917,673","1,809,548","1,831,556","1,888,784"
10,Operating Income or Loss,"339,309","305,969","273,267","181,096"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-42,591","-61,901","-64,460","-57,228"
13,Earnings Before Interest and Taxes,"339,309","305,969","273,267","181,096"
14,Interest Expense,"-43,940","-41,528","-37,997","-36,270"
15,Income Before Tax,"296,718","244,068","208,807","123,868"
16,Income Tax Expense,"139,828","28,362","20,022","-6,271"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"156,890","215,706","188,785","130,139"
19,Non-recurring Events,,,,
20,Discontinued Operations,"135,743","18,593","23,640","27,639"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"292,633","234,299","212,425","157,778"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"292,633","234,299","212,425","157,778"
