,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"6,873,000","6,583,000","6,399,000","6,456,000"
2,Cost of Revenue,"4,475,000","4,080,000","4,041,000","4,266,000"
3,Gross Profit,"2,398,000","2,503,000","2,358,000","2,190,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"-90,000","-24,000","-41,000","15,000"
7,Non Recurring,-,-,-,-
8,Others,"303,000","284,000","281,000","262,000"
9,Total Operating Expenses,"5,621,000","5,221,000","5,092,000","5,293,000"
10,Operating Income or Loss,"1,252,000","1,362,000","1,307,000","1,163,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-478,000","-476,000","-481,000","-367,000"
13,Earnings Before Interest and Taxes,"1,252,000","1,362,000","1,307,000","1,163,000"
14,Interest Expense,"-461,000","-440,000","-440,000","-400,000"
15,Income Before Tax,"774,000","886,000","826,000","796,000"
16,Income Tax Expense,"115,000","424,000","273,000","271,000"
17,Minority Interest,"37,000","37,000","37,000","37,000"
18,Net Income From Continuing Ops,"659,000","462,000","553,000","525,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"657,000","460,000","551,000","523,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"657,000","460,000","551,000","523,000"
