,0,1,2,3,4
0,Revenue,8/31/2018,8/31/2017,8/31/2016,8/31/2015
1,Total Revenue,"39,573,450","34,850,182","32,882,723","31,047,931"
2,Cost of Revenue,"27,130,537","23,819,690","22,605,296","21,238,692"
3,Gross Profit,"12,442,913","11,030,492","10,277,427","9,809,239"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"6,601,872","5,888,090","5,466,982","5,308,988"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"33,732,409","29,707,780","28,072,278","26,547,680"
10,Operating Income or Loss,"5,841,041","5,142,402","4,810,445","4,500,251"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-32,948","-526,370","793,127","-89,721"
13,Earnings Before Interest and Taxes,"5,841,041","5,142,402","4,810,445","4,500,251"
14,Interest Expense,"-19,539","-15,545","-16,258","-14,578"
15,Income Before Tax,"5,808,093","4,616,032","5,603,572","4,410,530"
16,Income Tax Expense,"1,593,499","981,100","1,253,969","1,136,741"
17,Minority Interest,"359,835","760,723","634,114","513,846"
18,Net Income From Continuing Ops,"4,214,594","3,634,932","4,349,603","3,273,789"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"4,059,907","3,445,149","4,111,892","3,053,581"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"4,059,907","3,445,149","4,111,892","3,053,581"
