,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"3,993,400","3,745,300","2,674,300","2,922,600"
2,Cost of Revenue,"1,804,900","1,744,400","1,149,700","1,322,800"
3,Gross Profit,"2,188,500","2,000,900","1,524,600","1,599,800"
4,Operating Expenses,,,,
5,Research Development,"151,700","128,500","74,900","80,800"
6,Selling General and Administrative,"1,523,000","1,364,600","993,300","1,062,300"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"3,479,600","3,237,500","2,217,900","2,465,900"
10,Operating Income or Loss,"513,800","507,800","456,400","456,700"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-2,117,300","-66,900","-128,300","-52,700"
13,Earnings Before Interest and Taxes,"513,800","507,800","456,400","456,700"
14,Interest Expense,"-38,300","-35,900","-55,900","-46,900"
15,Income Before Tax,"-1,603,500","440,900","328,100","404,000"
16,Income Tax Expense,"-53,200","9,500","77,000","81,100"
17,Minority Interest,"11,600","11,600","1,400",900
18,Net Income From Continuing Ops,"-1,550,300","431,400","251,100","322,900"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"-1,550,000","429,900","251,200","322,900"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"-1,550,000","429,900","251,200","322,900"
