,0,1,2,3,4
0,Revenue,12/29/2018,12/30/2017,12/31/2016,12/26/2015
1,Total Revenue,"6,475,000","5,253,000","4,319,000","3,991,000"
2,Cost of Revenue,"3,983,000","3,466,000","3,316,000","2,911,000"
3,Gross Profit,"2,492,000","1,787,000","1,003,000","1,080,000"
4,Operating Expenses,,,,
5,Research Development,"1,434,000","1,196,000","1,008,000","947,000"
6,Selling General and Administrative,"562,000","516,000","466,000","482,000"
7,Non Recurring,-,-,-,-
8,Others,-,"-52,000","-88,000","-88,000"
9,Total Operating Expenses,"5,979,000","5,126,000","4,702,000","4,343,000"
10,Operating Income or Loss,"496,000","127,000","-383,000","-352,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-150,000","-142,000","-76,000","-294,000"
13,Earnings Before Interest and Taxes,"496,000","127,000","-383,000","-352,000"
14,Interest Expense,"-121,000","-126,000","-156,000","-160,000"
15,Income Before Tax,"328,000","-15,000","-459,000","-646,000"
16,Income Tax Expense,"-9,000","18,000","39,000","14,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"337,000","-33,000","-498,000","-660,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"337,000","-33,000","-498,000","-660,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"337,000","-33,000","-498,000","-660,000"
