,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"2,996,700","2,685,900","2,536,500","2,356,000"
2,Cost of Revenue,"1,758,000","1,566,600","1,526,700","1,496,700"
3,Gross Profit,"1,238,700","1,119,300","1,009,800","859,300"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"718,200","658,900","610,700","572,100"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"2,476,200","2,225,500","2,137,400","2,068,800"
10,Operating Income or Loss,"520,500","460,400","399,100","287,200"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,300,"2,100","3,400",-500
13,Earnings Before Interest and Taxes,"520,500","460,400","399,100","287,200"
14,Interest Expense,"-10,100","-7,300","-7,400","-5,700"
15,Income Before Tax,"520,800","462,500","402,500","286,700"
16,Income Tax Expense,"224,300","136,000","119,600","78,900"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"296,500","326,500","282,900","207,800"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"296,500","326,500","282,900","207,800"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"296,500","326,500","282,900","207,800"
