,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"23,306,000","21,743,000","19,495,000","20,675,000"
2,Cost of Revenue,"15,555,000","14,788,000","13,400,000","14,313,000"
3,Gross Profit,"7,751,000","6,955,000","6,095,000","6,362,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"3,784,000","3,585,000","3,331,000","2,787,000"
7,Non Recurring,-,-,-,-
8,Others,"171,000","169,000","154,000","158,000"
9,Total Operating Expenses,"20,838,000","19,885,000","18,009,000","18,425,000"
10,Operating Income or Loss,"2,468,000","1,858,000","1,486,000","2,250,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-351,000","-833,000","-493,000","-1,001,000"
13,Earnings Before Interest and Taxes,"2,468,000","1,858,000","1,486,000","2,250,000"
14,Interest Expense,"-734,000","-758,000","-695,000","-644,000"
15,Income Before Tax,"2,117,000","1,025,000","993,000","1,249,000"
16,Income Tax Expense,"445,000","-1,085,000","193,000","417,000"
17,Minority Interest,"21,000","19,000","18,000","25,000"
18,Net Income From Continuing Ops,"1,672,000","2,110,000","800,000","832,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"345,000","34,000","102,000","85,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,017,000","2,144,000","904,000","938,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,017,000","2,144,000","904,000","938,000"
