,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"4,277,000","3,948,000","3,704,000","3,403,000"
2,Cost of Revenue,"1,751,000","1,537,000","1,428,000","1,313,000"
3,Gross Profit,"2,526,000","2,411,000","2,276,000","2,090,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,235,000","1,164,000","1,116,000","1,023,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"3,196,000","2,889,000","2,714,000","2,474,000"
10,Operating Income or Loss,"1,081,000","1,068,000","988,000","929,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-17,000","-196,000","-855,000","-299,000"
13,Earnings Before Interest and Taxes,"1,081,000","1,068,000","988,000","929,000"
14,Interest Expense,"-150,000","-143,000","-135,000","-111,000"
15,Income Before Tax,"1,064,000","880,000","136,000","630,000"
16,Income Tax Expense,"606,000","146,000","28,000","203,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"458,000","734,000","108,000","427,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"458,000","734,000","108,000","428,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"458,000","734,000","108,000","428,000"
