,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"15,784,000","14,961,000","13,370,000","13,000,000"
2,Cost of Revenue,"5,507,000","5,347,000","5,113,000","5,425,000"
3,Gross Profit,"10,277,000","9,614,000","8,257,000","7,575,000"
4,Operating Expenses,,,,
5,Research Development,"1,559,000","1,508,000","1,356,000","1,267,000"
6,Selling General and Administrative,"1,684,000","1,755,000","1,798,000","1,776,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,"-2,000"
9,Total Operating Expenses,"9,068,000","8,928,000","8,586,000","8,785,000"
10,Operating Income or Loss,"6,716,000","6,033,000","4,784,000","4,215,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-30,000","47,000","146,000","1,000"
13,Earnings Before Interest and Taxes,"6,716,000","6,033,000","4,784,000","4,215,000"
14,Interest Expense,"-125,000","-78,000","-80,000","-90,000"
15,Income Before Tax,"6,686,000","6,080,000","4,930,000","4,216,000"
16,Income Tax Expense,"1,106,000","2,398,000","1,335,000","1,230,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"5,580,000","3,682,000","3,595,000","2,986,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"5,580,000","3,682,000","3,595,000","2,986,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"5,580,000","3,648,000","3,550,000","2,943,000"
