,assoc,values
0,they sell,zacks investment research earnings per share calculations average based survey sell-side analysts cover loews .
1,they buy,separately deutsche bank increased target price shares loews 51.00 54.00 gave stock hold rating research report wednesday august 1st .
2,they buy,four equities research analysts rated stock hold rating one issued buy rating stock .
3,they sell,institutional investors hedge funds recently bought sold shares business .
4,they buy,"unigestion holding sa bought new position loews 2nd quarter worth approximately 11,471,000 ."
5,they buy,"hexavest inc. bought new position loews 2nd quarter worth approximately 10,573,000 ."
6,they buy,eternal token achieves market cap 76.49 million xet secureworks scwx stock rating upgraded bidaskclub big money sentiment loews corp nyse l 2018 q2 increased 0.89 according sec.gov filings .
7,they sell,158 hedge funds opened new increased holdings 178 sold trimmed holdings loews corp sentiment improved .
8,they sell,24 investors sold 154 reduced holdings 109 increased holdings 49 hedge funds bought holdings .
9,they buy,"2018 q2 mraz amerine associates inc. 4.56 invested loews corp. 2018 q2 282,003 shares loews corp owned america first investment advisors llc ."
10,they buy,"wallace mngmt inc invested 395,670 shs ."
11,they buy,aperio lc invested 0.11 capital loews corporation nyse l .
12,they buy,"moreover aviva public limited company 0.04 invested loews corporation nyse l 140,696 shs ."
13,they buy,vanguard gru invested 0.06 27.85 million shs .
14,they buy,"united serv automobile association invested 0 6,329 shs ."
15,they buy,steinberg asset 0.05 invested loews corporation nyse l .
16,they sell,"2,550 worth stock sold diker charles friday june 1. friday june 1 fribourg paul j also sold 2,550 worth loews corporation nyse l ."
17,they sell,"friday june 1 harris walter l sold 52 shs worth 2,550 ."
18,they buy,investors sentiment increased 0.89 q2 2018.
19,they sell,positive 24 investors sold loews corporation shares 154 reduced holdings .
20,they buy,"conning 0.01 invested loews corporation nyse l 5,860 shares ."
21,they buy,jpmorgan chase com invested 0.17 loews corporation nyse l .
22,they buy,ohio-based beese fulmer inv mngmt inc invested 0.21 loews corporation nyse l .
23,they buy,"thrivent lutherans invested 0.1 657,823 shares ."
24,they buy,janney montgomery scott limited liability co invested 0 loews corporation nyse l .
25,they buy,boston advisors ltd limited liability company invested 0.03 loews corporation nyse l .
26,they buy,pensionfund dsm netherlands invested 0.49 portfolio loews corporation nyse l .
27,they buy,focused wealth management invested 0.04 portfolio loews corporation nyse l .
28,they sell,"52 shares valued 2,550 sold laskawy philip friday june 1. shares 17,861 sold fribourg paul j ."
29,they sell,bidaskclub raised papa john int l sell rating hold rating report thursday october 11th .
30,they sell,valuengine raised papa john int l sell rating hold rating research note friday september 28th .
31,they buy,bank america raised papa john int l neutral rating buy rating research note monday august 27th .
32,they buy,citigroup lowered price target papa john int l 62.00 51.00 set buy rating stock research note wednesday august 22nd .
33,they buy,finally longbow research raised papa john int l neutral rating buy rating research note monday august 13th .
34,they sell,one research analyst rated stock sell rating four given hold rating six assigned buy rating stock .
35,they sell,see also growth stocks notviewcount type=a id=1097467 zacks investment research downgraded shares standex int l nyse sxi buy rating strong sell rating research report report published friday .
36,they sell,valuengine lowered shares standex int l hold rating sell rating report monday october 29th .
37,they sell,two research analysts rated stock sell rating one given hold rating three issued buy rating company stock .
38,they sell,"news vp thomas d. debyle sold 2,000 shares stock transaction monday september 10th ."
39,they sell,"shares sold average price 110.10 total value 220,200.00 ."
40,they buy,comerica bank increased holdings shares standex int l 0.6 2nd quarter .
41,they buy,legal general group plc increased holdings shares standex int l 2.4 1st quarter .
42,they buy,rhumbline advisers increased holdings shares standex int l 1.8 2nd quarter .
43,they buy,metlife investment advisors llc increased holdings shares standex int l 12.4 2nd quarter .
44,they buy,finally ramsey quantitative systems increased holdings shares standex int l 135.6 2nd quarter .
45,they sell,"featured article stock selection cash flow viewcount articlehistoryid=26204874 postdate=2018-11-3 type=a secondary=1 id=1111360 get free copy zacks research report standex int l sxi information research offerings zacks investment research visit zacks.comkeyword standex int'l nyse sxi sxi industrial product,85423110 downgrade zacks investment researchratings:4,4 nyse sxi receive news ratings standex int'l daily enter email address receive concise daily summary latest news analysts ratings standex int'l related companies marketbeat.com free daily email newsletter ."
46,they buy,california public employees retirement system increased position shares standex int l corp. nyse sxi 26.1 2nd quarter holdings channel reports .
47,they buy,blackrock inc. increased position standex int l 10.2 second quarter .
48,they buy,bank new york mellon corp increased position standex int l 11.9 second quarter .
49,they buy,janus henderson group plc increased position standex int l 4.8 second quarter .
50,they buy,fmr llc increased position standex int l 2.1 second quarter .
51,they sell,"standex int l news vp thomas d. debyle sold 2,000 shares standex int l stock transaction dated monday september 10th ."
52,they sell,"shares sold average price 110.10 total transaction 220,200.00 ."
53,they sell,valuengine cut shares standex int l hold rating sell rating research report monday .
54,they sell,zacks investment research upgraded shares standex int l sell rating hold rating research report friday october 5th .
55,they sell,one equities research analyst rated stock sell rating one given hold rating four issued buy rating company stock .
56,they buy,company presently consensus rating buy consensus price target 109.67 .
57,they sell,hedge funds also recently bought sold shares company .
58,they sell,"standex int l news vp thomas d. debyle sold 2,000 shares business stock transaction dated monday september 10th ."
59,they sell,"shares sold average price 110.10 total value 220,200.00 ."
60,they sell,zacks investment research cut shares standex int l buy rating strong sell rating research report friday .
61,they sell,valuengine cut shares standex int l hold rating sell rating research report monday october 29th .
62,they sell,two research analysts rated stock sell rating one given hold rating three given buy rating company .
63,they sell,"standex int l news vp thomas d. debyle sold 2,000 shares stock transaction dated monday september 10th ."
64,they sell,"shares sold average price 110.10 total transaction 220,200.00 ."
65,they sell,zacks investment research downgraded shares standex int l hold rating sell rating research note wednesday october 24th .
66,they sell,finally valuengine downgraded shares standex int l hold rating sell rating research note monday october 29th .
67,they sell,two analysts rated stock sell rating one assigned hold rating three assigned buy rating company stock .
68,they sell,featured story risk toleranceviewcount articlehistoryid=26179400 postdate=2018-11-3 type=f id=4172652 valuengine cut shares standex int l nyse sxi hold rating sell rating research report released monday .
69,they sell,google_ad_client ca-pub-0703139142419429 google_ad_slot 5621244306 google_ad_width 336 google_ad_height 280 c separately zacks investment research downgraded shares standex int l hold rating sell rating report wednesday october 24th .
70,they sell,one investment analyst rated stock sell rating one issued hold rating four assigned buy rating stock .
71,they buy,standex int l average rating buy consensus target price 109.67 .
72,they sell,"standex int l news vp thomas d. debyle sold 2,000 shares firm stock transaction occurred monday september 10th ."
73,they sell,"shares sold average price 110.10 total transaction 220,200.00 ."
74,they sell,zacks investment research cut standex int l hold rating sell rating research report wednesday october 24th .
75,they sell,valuengine cut standex int l hold rating sell rating research report monday .
76,they sell,two equities research analysts rated stock sell rating one given hold rating three given buy rating stock .
77,they sell,"related news vp thomas d. debyle sold 2,000 shares stock transaction monday september 10th ."
78,they sell,"stock sold average price 110.10 total transaction 220,200.00 ."
79,they buy,zacks investment research cut shares loews strong-buy rating hold rating research report tuesday july 3rd .
80,they buy,four investment analysts rated stock hold rating one issued buy rating company .
81,they sell,"news vp marc a. alpert sold 2,141 shares loews stock transaction dated friday august 10th ."
82,they sell,"shares sold average price 49.97 total transaction 106,985.77 ."
83,they sell,number large investors recently bought sold shares l. barrow hanley mewhinney strauss llc boosted stake loews 10.7 first quarter .
84,they buy,"unigestion holding sa bought new position shares loews second quarter worth approximately 11,471,000 ."
85,they buy,"hexavest inc. bought new position shares loews second quarter worth approximately 10,573,000 ."
86,they sell,darden restaurants inc. dri holdings reduced texas permanent school fund amag posts wider-than-expected q3 loss beats revenues standex int l nyse sxi downgraded zacks investment research buy rating strong sell rating report issued friday .
87,they sell,valuengine downgraded shares standex int l hold rating sell rating report monday .
88,they sell,two equities research analysts rated stock sell rating one issued hold rating three issued buy rating stock .
89,they sell,"standex int l news vp thomas d. debyle sold 2,000 shares standex int l stock transaction monday september 10th ."
90,they sell,"shares sold average price 110.10 total value 220,200.00 ."
91,they sell,"reading trading penny stocks viewcount articlehistoryid=26138138 postdate=2018-11-2 type=a id=1111360 get free copy zacks research report standex int l sxi information research offerings zacks investment research visit zacks.comkeyword standex int'l nyse sxi sxi industrial product,85423110 downgrade zacks investment researchratings:4,4 nyse sxi receive news ratings standex int'l daily enter email address receive concise daily summary latest news analysts ratings standex int'l related companies marketbeat.com free daily email newsletter ."
92,they sell,zacks sales averages mean average based survey sell-side research analysts provide coverage papa john int l .
93,they buy,stephens reissued buy rating set 60.00 price objective shares papa john int l report tuesday august 7th .
94,they buy,jefferies financial group upgraded shares papa john int l hold rating buy rating set 58.00 target price stock research note wednesday august 1st .
95,they buy,longbow research upgraded shares papa john int l neutral rating buy rating research note monday august 13th .
96,they buy,bank america raised papa john int l neutral rating buy rating research report monday august 27th .
97,they buy,finally citigroup lowered price target papa john int l 62.00 51.00 set buy rating stock research report wednesday august 22nd .
98,they sell,one research analyst rated stock sell rating six issued hold rating five issued buy rating company .
99,they sell,"recommended story swap viewcount type=c secondary=1 id=495984keyword papa john int'l nasdaq pzza pzza retail/wholesale,69881310 ratings consensusratings:4,9 nasdaq pzza get free copy zacks research report papa john int l pzza information research offerings zacks investment research visit zacks.com number firms modified ratings price targets shares standex int l nyse sxi recently google_ad_client ca-pub-0703139142419429 google_ad_slot 5621244306 google_ad_width 336 google_ad_height 280 c 10/31/2018 standex int l upgraded analysts zacks investment research sell rating buy rating ."
100,they sell,press release 10/29/2018 standex int l downgraded analysts valuengine hold rating sell rating .
101,they sell,10/24/2018 standex int l downgraded analysts zacks investment research hold rating sell rating .
102,they sell,press release 10/5/2018 standex int l upgraded analysts zacks investment research sell rating hold rating .
103,they sell,press release 9/26/2018 standex int l downgraded analysts zacks investment research hold rating sell rating .
104,they sell,"standex int l news vp thomas d. debyle sold 2,000 shares standex int l stock transaction occurred monday september 10th ."
105,they sell,"stock sold average price 110.10 total value 220,200.00 ."
106,they buy,ubs group ag increased position standex int l 408.9 1st quarter .
107,they buy,legal general group plc increased position standex int l 2.4 1st quarter .
108,they buy,principal financial group inc. increased position standex int l 3.3 1st quarter .
109,they buy,"amalgamated bank bought new position standex int l 2nd quarter worth approximately 208,000 ."
110,they buy,finally ramsey quantitative systems increased position shares standex int l 135.6 second quarter .
111,they buy,reading cost debt reinhart partners inc. increased stake shares loews co. nyse l 1.0 third quarter according company recent disclosure securities exchange commission .
112,they buy,oppenheimer co. inc. increased stake loews 5.9 2nd quarter .
113,they buy,foundation resource management inc. increased stake loews 0.6 2nd quarter .
114,they buy,dupont capital management corp increased stake loews 57.9 2nd quarter .
115,they buy,finally finemark national bank trust increased stake loews 1.0 2nd quarter .
116,they buy,zacks investment research lowered shares loews strong-buy rating hold rating research note tuesday july 3rd .
117,they buy,four analysts rated stock hold rating one given buy rating company stock .
118,they sell,"news vp marc a. alpert sold 2,141 shares business stock transaction dated friday august 10th ."
119,they sell,"shares sold average price 49.97 total transaction 106,985.77 ."
120,they sell,"news vp marc a. alpert sold 2,141 shares stock transaction friday august 10th ."
121,they sell,"stock sold average price 49.97 total transaction 106,985.77 ."
122,they buy,four research analysts rated stock hold rating one issued buy rating company .
123,they sell,one investment analyst rated stock sell recommendation two issued hold recommendation three given buy recommendation company .
124,they buy,separately zacks investment research cut shares standex int l buy rating hold rating report saturday september 1st .
125,they sell,"standex int l news vp thomas d. debyle sold 2,000 shares standex int l stock transaction dated monday september 10th ."
126,they sell,"stock sold average price 110.10 total transaction 220,200.00 ."
127,they sell,valuengine lowered standex int l hold rating sell rating research note monday .
128,they sell,zacks investment research upgraded standex int l sell rating hold rating research note friday october 5th .
129,they sell,one research analyst rated stock sell rating one issued hold rating four assigned buy rating stock .
130,they buy,standex int l currently consensus rating buy consensus price target 109.67 .
131,they sell,"standex int l news vp thomas d. debyle sold 2,000 shares company stock transaction dated monday september 10th ."
132,they sell,"stock sold average price 110.10 total value 220,200.00 ."
133,they buy,ramsey quantitative systems increased stake standex int l 135.6 2nd quarter .
134,they buy,"amalgamated bank bought new position standex int l 2nd quarter worth 208,000 ."
135,they buy,"united services automobile association bought new position standex int l 2nd quarter worth 210,000 ."
136,they buy,advisors asset management inc. increased stake standex int l 233.1 2nd quarter .
137,they buy,"finally commonwealth pennsylvania public school empls retrmt sys bought new position standex int l 2nd quarter worth 277,000 ."
138,they buy,bank america raised papa john int l neutral rating buy rating report monday august 27th .
139,they buy,stephens cut price target papa john int l 60.00 55.00 set overweight rating company research note wednesday august 8th .
140,they sell,stifel nicolaus cut target price shares papa john int l 38.00 35.00 set sell rating company research report wednesday august 8th .
141,they sell,valuengine lowered shares papa john int l hold rating sell rating research report tuesday september 4th .
142,they buy,finally longbow research boosted target price shares papa john int l 52.00 61.00 gave company buy rating research report monday october 15th .
143,they sell,one analyst rated stock sell rating six given hold rating five issued buy rating company .
144,they buy,"profund advisors llc bought new stake papa john int l first quarter valued 202,000 ."
145,they buy,"advisors llc bought new stake papa john int l first quarter valued 241,000 ."
146,they sell,recommended story discount rate affect economy get free copy zacks research report papa john int l pzza information research offerings zacks investment research visit zacks.com standex int l nyse sxi upgraded zacks investment research sell rating buy rating research note issued wednesday .
147,they sell,valuengine cut shares standex int l hold rating sell rating research note monday .
148,they sell,one research analyst rated stock sell rating one assigned hold rating four assigned buy rating stock .
149,they buy,company currently average rating buy average target price 109.67 .
150,they sell,"news vp thomas d. debyle sold 2,000 shares standex int l stock transaction occurred monday september 10th ."
151,they sell,"shares sold average price 110.10 total value 220,200.00 ."
152,they sell,hedge funds recently bought sold shares stock .
153,they buy,"amalgamated bank bought new position standex int l second quarter valued approximately 208,000 ."
