,assoc,values
0,they buy,narwhal capital management increased stake johnson johnson 2.9 fourth quarter .
1,they buy,mccollum christoferson group llc increased stake johnson johnson 0.6 fourth quarter .
2,they buy,stokes capital advisors llc increased stake johnson johnson 7.5 fourth quarter .
3,they sell,zacks investment research downgraded shares johnson johnson buy rating sell rating research note tuesday december 18th .
4,they buy,citigroup increased price objective shares johnson johnson 139.00 147.00 gave stock neutral rating report monday february 25th .
5,they buy,valuengine raised shares johnson johnson hold rating buy rating research report thursday december 13th .
6,they buy,six investment analysts rated stock hold rating nine given buy rating company .
7,they buy,johnson johnson average rating buy average price target 143.58 .
8,they sell,csx csx stock rating reaffirmed susquehanna bancshares big money sentiment decreased 0.86 q4 2018. change 0.19 2018q3 1.05. ratio fall due jnj positioning 51 sold 851 reduced .
9,they buy,145 funds took holdings 631 increased holdings .
10,they buy,"bernzott cap advsr 1.36 invested johnson johnson nyse jnj 75,278 shs ."
11,they buy,"salem invested 58,301 shs 4.74 stock ."
12,they buy,state board administration florida retirement sys invested 1.4 johnson johnson nyse jnj .
13,they buy,invsts asset georgia inc ga adv invested 1.52 capital johnson johnson nyse jnj .
14,they buy,cap city comm fl invested 2.43 johnson johnson nyse jnj .
15,they buy,"jnj registered 74.45 million net activity 3 insider purchases 6 sales since november 7 2018. mulcahy anne bought 100,050 worth stock 748 shs ."
16,they sell,5.77m worth johnson johnson nyse jnj sold duato joaquin .
17,they sell,friday november 16 insider gorsky alex sold 38.60 million .
18,they sell,friday november 23 sneed michael e also sold 4.41 million worth johnson johnson nyse jnj .
19,they buy,"prince charles bought 2,000 shs worth 268,731 friday december 14. friday december 14 trade 1,000 shs valued 133,910 made perez william ."
20,they sell,"company stock declined 5.44 stock markets rallied engineers gate manager lp sold 25,726 shares ."
21,they buy,"engineers gate manager lp risen stake loews corp nyse l also increased holding best buy inc nyse bby 93,740 shares quarter total 182,606 shares ."
22,they buy,titles follows better buy abbvie vs. johnson johnson motley fool announced march 31 2019 j j files u.s. application expanded use invokana seeking alpha march 28 2019 jnj stock stumbles asbestos verdict schaeffers research publish date march 14 2019 j j baby shampoo samples fail indian quality test seeking alpha last johnson johnson announces completion acquisition auris health inc. prnewswire publication date april 01 2019 .
23,they sell,total 5 analysts rate johnson johnson nyse jnj follows 3 buy 2 hold 0 sell .
24,they buy,monday march 25 firm buy rating given raymond james .
25,they buy,wednesday march 6 firm earned buy rating cowen co. wednesday january 2 stock johnson johnson nyse jnj earned equal-weight rating morgan stanley .
26,they buy,thursday february 14 rating maintained credit suisse buy .
27,they sell,51 investors sold 851 reduced holdings jnj ratio turned negative .
28,they buy,community savings bank raymore invested 0.43 johnson johnson nyse jnj .
29,they buy,montrusco bolton invs invested 1.13 johnson johnson nyse jnj .
30,they buy,stephens inc ar invested 0.65 johnson johnson nyse jnj .
31,they sell,"jnj registered 74.45 million net activity 3 insider buys 6 insider sales since november 7 2018. friday november 16 264,465 shs sold gorsky alex worth 38.60 million ."
32,they buy,"perez william bought 133,910 worth johnson johnson nyse jnj 1,000 shs friday december 14. another trade 748 shs valued 100,050 made mulcahy anne friday december 14 ."
33,they sell,5.77 million worth stock sold duato joaquin wednesday november 7 .
34,they buy,"268,731 worth johnson johnson nyse jnj bought prince charles ."
35,they sell,friday november 23 insider sneed michael e sold 4.41 million .
36,they sell,"company stock sank 5.44 engineers gate manager lp sold 25,726 shares ."
