,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"14,950,000","12,497,000","10,776,000","9,667,000"
2,Cost of Revenue,-,-,-,-
3,Gross Profit,"14,950,000","12,497,000","10,776,000","9,667,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"6,081,000","5,250,000","4,525,000","4,083,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"6,540,000","5,686,000","4,898,000","4,449,000"
10,Operating Income or Loss,"8,410,000","6,811,000","5,878,000","5,218,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,206,000","-289,000","-232,000","-260,000"
13,Earnings Before Interest and Taxes,"8,410,000","6,811,000","5,878,000","5,218,000"
14,Interest Expense,"-186,000","-154,000","-95,000","-61,000"
15,Income Before Tax,"7,204,000","6,522,000","5,646,000","4,958,000"
16,Income Tax Expense,"1,345,000","2,607,000","1,587,000","1,150,000"
17,Minority Interest,"94,000","100,000","28,000","34,000"
18,Net Income From Continuing Ops,"5,859,000","3,915,000","4,059,000","3,808,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"5,859,000","3,915,000","4,059,000","3,808,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"5,859,000","3,915,000","4,059,000","3,808,000"
