,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"2,878,600","2,538,900","2,491,000","3,258,700"
2,Cost of Revenue,"1,757,100","1,607,700","1,632,800","2,043,600"
3,Gross Profit,"1,121,500","931,200","858,200","1,215,100"
4,Operating Expenses,,,,
5,Research Development,"141,500","134,500","135,900","126,300"
6,Selling General and Administrative,"470,200","411,700","398,400","447,500"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"2,368,800","2,153,900","2,167,100","2,617,400"
10,Operating Income or Loss,"509,800","385,000","323,900","641,300"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-329,000","-204,200","-531,300","-277,500"
13,Earnings Before Interest and Taxes,"509,800","385,000","323,900","641,300"
14,Interest Expense,"-80,000","-63,500","-62,200","-51,400"
15,Income Before Tax,"180,800","180,800","-207,400","363,800"
16,Income Tax Expense,"264,100","50,100","5,200","56,200"
17,Minority Interest,"25,300","35,300","42,600","33,500"
18,Net Income From Continuing Ops,"-83,300","130,700","-212,600","307,600"
19,Non-recurring Events,,,,
20,Discontinued Operations,"621,700","81,000","711,100","14,500"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"535,800","209,100","489,000","307,500"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"535,800","208,700","489,000","306,600"
