,0,1,2,3,4
0,Revenue,7/29/2017,7/30/2016,7/25/2015,7/26/2014
1,Total Revenue,"48,005,000","49,247,000","49,161,000","47,142,000"
2,Cost of Revenue,"17,750,000","18,289,000","19,276,000","18,718,000"
3,Gross Profit,"30,255,000","30,958,000","29,885,000","28,424,000"
4,Operating Expenses,,,,
5,Research Development,"6,059,000","6,296,000","6,207,000","6,294,000"
6,Selling General and Administrative,"11,167,000","11,401,000","11,851,000","11,430,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"35,235,000","36,289,000","37,693,000","36,717,000"
10,Operating Income or Loss,"12,770,000","12,958,000","11,468,000","10,425,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-483,000","-38,000","-267,000","-710,000"
13,Earnings Before Interest and Taxes,"12,770,000","12,958,000","11,468,000","10,425,000"
14,Interest Expense,"-861,000","-676,000","-566,000","-564,000"
15,Income Before Tax,"12,287,000","12,920,000","11,201,000","9,715,000"
16,Income Tax Expense,"2,678,000","2,181,000","2,220,000","1,862,000"
17,Minority Interest,-,"-1,000","9,000","7,000"
18,Net Income From Continuing Ops,"9,609,000","10,739,000","8,981,000","7,853,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"9,609,000","10,739,000","8,981,000","7,853,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"9,609,000","10,739,000","8,981,000","7,853,000"
