,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"4,629,000","4,499,000","3,338,000","3,092,000"
2,Cost of Revenue,-,-,-,-
3,Gross Profit,"4,629,000","4,499,000","3,338,000","3,092,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,644,000","1,632,000","1,123,000","1,178,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"2,179,000","2,209,000","1,497,000","1,511,000"
10,Operating Income or Loss,"2,450,000","2,290,000","1,841,000","1,581,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"67,000","-261,000","-188,000","-174,000"
13,Earnings Before Interest and Taxes,"2,450,000","2,290,000","1,841,000","1,581,000"
14,Interest Expense,"-187,000","-178,000","-97,000","-96,000"
15,Income Before Tax,"2,517,000","2,029,000","1,653,000","1,407,000"
16,Income Tax Expense,"-25,000","580,000","358,000","402,000"
17,Minority Interest,"28,000","73,000","67,000","197,000"
18,Net Income From Continuing Ops,"2,542,000","1,449,000","1,295,000","1,005,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,"11,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,514,000","1,422,000","1,274,000","981,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,514,000","1,422,000","1,274,000","981,000"
