,0,1,2,3,4
0,Revenue,3/31/2018,3/31/2017,3/31/2016,3/31/2015
1,Total Revenue,"5,150,000","4,845,000","4,396,000","4,515,000"
2,Cost of Revenue,"1,277,000","1,283,000","1,354,000","1,429,000"
3,Gross Profit,"3,873,000","3,562,000","3,042,000","3,086,000"
4,Operating Expenses,,,,
5,Research Development,"1,320,000","1,205,000","1,109,000","1,094,000"
6,Selling General and Administrative,"1,110,000","1,112,000","1,028,000","1,033,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"3,716,000","3,606,000","3,498,000","3,570,000"
10,Operating Income or Loss,"1,434,000","1,239,000","898,000","945,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"15,000","-29,000","-21,000","-20,000"
13,Earnings Before Interest and Taxes,"1,434,000","1,239,000","898,000","945,000"
14,Interest Expense,"-44,000","-47,000","-28,000","-31,000"
15,Income Before Tax,"1,449,000","1,210,000","877,000","925,000"
16,Income Tax Expense,"406,000","243,000","-279,000","50,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,043,000","967,000","1,156,000","875,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,043,000","967,000","1,156,000","875,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,043,000","967,000","1,156,000","875,000"
