,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"7,830,436","6,794,342","6,956,311","7,752,728"
2,Cost of Revenue,"4,917,069","4,307,629","4,366,973","4,758,789"
3,Gross Profit,"2,913,367","2,486,713","2,589,338","2,993,939"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,903,542","1,732,101","1,613,372","1,733,647"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"6,836,311","6,039,730","5,980,345","6,492,436"
10,Operating Income or Loss,"994,125","754,612","975,966","1,260,292"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-20,282","-65,280","-175,356","-166,085"
13,Earnings Before Interest and Taxes,"994,125","754,612","975,966","1,260,292"
14,Interest Expense,"-145,208","-136,401","-131,676","-131,689"
15,Income Before Tax,"973,843","689,332","800,610","1,094,207"
16,Income Tax Expense,"162,178","180,440","204,729","316,067"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"811,665","508,892","595,881","778,140"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,"273,948","-2,905"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"811,665","508,892","869,829","775,235"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"811,665","508,892","869,829","775,235"
