,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"17,824,000","12,508,000","10,090,000","12,480,000"
2,Cost of Revenue,"6,568,000","5,594,000","5,189,000","5,804,000"
3,Gross Profit,"11,256,000","6,914,000","4,901,000","6,676,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,613,000","1,424,000","1,330,000","1,270,000"
7,Non Recurring,-,-,-,-
8,Others,"439,000","311,000","277,000","343,000"
9,Total Operating Expenses,"13,123,000","11,814,000","11,667,000","17,021,000"
10,Operating Income or Loss,"4,701,000","694,000","-1,577,000","-4,541,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"907,000","634,000","-87,000","-4,935,000"
13,Earnings Before Interest and Taxes,"4,701,000","694,000","-1,577,000","-4,541,000"
14,Interest Expense,"-356,000","-324,000","-275,000","-141,000"
15,Income Before Tax,"5,608,000","1,328,000","-1,664,000","-9,476,000"
16,Income Tax Expense,"1,477,000","17,000","-662,000","-1,330,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"4,131,000","1,311,000","-1,002,000","-8,146,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,"428,000","317,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"4,131,000","1,311,000","-574,000","-7,829,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"4,114,000","1,305,000","-574,000","-7,829,000"
