,0,1,2,3,4
0,Revenue,12/29/2018,12/30/2017,12/31/2016,12/26/2015
1,Total Revenue,"7,911,046","7,256,382","6,779,579","6,226,507"
2,Cost of Revenue,"5,208,518","4,764,417","4,454,377","4,083,333"
3,Gross Profit,"2,702,528","2,491,965","2,325,202","2,143,174"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,823,440","1,639,749","1,488,164","1,369,097"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"7,209,309","6,570,000","6,085,499","5,575,999"
10,Operating Income or Loss,"701,737","686,382","694,080","650,508"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-18,352","-13,859","-5,810","-2,891"
13,Earnings Before Interest and Taxes,"701,737","686,382","694,080","650,508"
14,Interest Expense,"-18,352","-13,859","-5,810","-2,891"
15,Income Before Tax,"683,385","672,523","688,270","647,617"
16,Income Tax Expense,"151,028","249,924","251,150","237,222"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"532,357","422,599","437,120","410,395"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"532,357","422,599","437,120","410,395"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"532,357","422,599","437,120","410,395"
