,0,1,2,3,4
0,Revenue,9/30/2018,9/30/2017,9/30/2016,9/30/2015
1,Total Revenue,"7,235,746","6,378,071","5,379,559","5,159,577"
2,Cost of Revenue,"458,267","389,617","339,676","368,713"
3,Gross Profit,"6,777,479","5,988,454","5,039,883","4,790,864"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"5,178,788","4,574,050","3,940,475","3,847,445"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"5,637,055","4,963,667","4,280,151","4,216,158"
10,Operating Income or Loss,"1,598,691","1,414,404","1,099,408","943,419"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-293,814","-486,426","-287,464","-128,807"
13,Earnings Before Interest and Taxes,-,-,-,-
14,Interest Expense,-,-,-,-
15,Income Before Tax,"1,304,877","927,978","811,944","814,612"
16,Income Tax Expense,"453,960","289,111","271,293","296,034"
17,Minority Interest,"83,885","111,638","146,431","264,067"
18,Net Income From Continuing Ops,"850,917","638,867","540,651","518,578"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"856,695","636,235","529,350","502,140"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"855,232","634,859","528,094","500,530"
