,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"2,586,000","1,635,000","1,804,000","2,660,147"
2,Cost of Revenue,"589,000","437,000","518,000","517,599"
3,Gross Profit,"1,997,000","1,198,000","1,286,000","2,142,548"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"244,000","226,000","231,000","204,161"
7,Non Recurring,-,-,-,-
8,Others,"152,000","390,000","-669,000","-863,070"
9,Total Operating Expenses,"2,190,000","3,822,000","1,423,000","1,570,402"
10,Operating Income or Loss,"396,000","-2,187,000","381,000","1,089,745"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"485,000","-151,000","-284,000","-233,785"
13,Earnings Before Interest and Taxes,"396,000","-2,187,000","381,000","1,089,745"
14,Interest Expense,"-146,000","-204,000","-215,000","-216,661"
15,Income Before Tax,"881,000","-2,338,000","97,000","855,960"
16,Income Tax Expense,"-75,000","-876,000","31,000","317,785"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"956,000","-1,462,000","66,000","538,175"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"956,000","-1,462,000","66,000","538,175"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"949,000","-1,462,000","65,000","532,214"
