,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"12,681,082","10,743,006","9,223,987","8,441,971"
2,Cost of Revenue,"262,537","433,414","662,280","857,841"
3,Gross Profit,"12,418,545","10,309,592","8,561,707","7,584,130"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"7,497,679","6,158,544","5,052,706","4,296,098"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"8,122,990","6,901,093","5,987,480","5,361,759"
10,Operating Income or Loss,"4,558,092","3,841,913","3,236,507","3,080,212"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-159,770","-1,128,675","-108,187","-90,764"
13,Earnings Before Interest and Taxes,"4,558,092","3,841,913","3,236,507","3,080,212"
14,Interest Expense,"-253,976","-207,900","-160,229","-88,353"
15,Income Before Tax,"4,398,322","2,713,238","3,128,320","2,989,448"
16,Income Tax Expense,"2,057,557","578,251","576,960","567,695"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"2,340,765","2,134,987","2,551,360","2,421,753"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,340,765","2,134,987","2,551,360","2,421,753"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,340,765","2,134,987","2,551,360","2,421,753"
