,0,1,2,3,4
0,Revenue,1/31/2018,1/31/2017,1/31/2016,1/31/2015
1,Total Revenue,"500,343,000","485,873,000","482,130,000","485,651,000"
2,Cost of Revenue,"373,396,000","361,256,000","360,984,000","365,086,000"
3,Gross Profit,"126,947,000","124,617,000","121,146,000","120,565,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"104,698,000","101,853,000","97,041,000","93,418,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"478,094,000","463,109,000","458,025,000","458,504,000"
10,Operating Income or Loss,"22,249,000","22,764,000","24,105,000","27,147,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-7,126,000","-2,267,000","-2,467,000","-2,348,000"
13,Earnings Before Interest and Taxes,"22,249,000","22,764,000","24,105,000","27,147,000"
14,Interest Expense,"-2,330,000","-2,367,000","-2,548,000","-2,461,000"
15,Income Before Tax,"15,123,000","20,497,000","21,638,000","24,799,000"
16,Income Tax Expense,"4,600,000","6,204,000","6,558,000","7,985,000"
17,Minority Interest,"2,953,000","2,737,000","3,065,000","4,543,000"
18,Net Income From Continuing Ops,"10,523,000","14,293,000","15,080,000","16,814,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,"285,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"9,862,000","13,643,000","14,694,000","16,363,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"9,862,000","13,643,000","14,694,000","16,363,000"
