,0,1,2,3,4
0,Revenue,9/30/2018,9/30/2017,9/30/2016,9/30/2015
1,Total Revenue,"16,068,000","14,091,000","12,157,400","10,824,000"
2,Cost of Revenue,"12,605,200","11,239,300","9,677,700","8,635,300"
3,Gross Profit,"3,462,800","2,851,700","2,479,700","2,188,700"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,404,200","1,220,400","1,100,300","1,003,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"14,009,400","12,459,700","10,778,000","9,638,300"
10,Operating Income or Loss,"2,058,600","1,631,300","1,379,400","1,185,700"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"1,400","-29,200","-25,900","-62,300"
13,Earnings Before Interest and Taxes,"2,058,600","1,631,300","1,379,400","1,185,700"
14,Interest Expense,-,-,-,-
15,Income Before Tax,"2,060,000","1,602,100","1,353,500","1,123,400"
16,Income Tax Expense,"597,700","563,700","467,200","372,700"
17,Minority Interest,"174,500",500,500,"1,100"
18,Net Income From Continuing Ops,"1,462,300","1,038,400","886,300","750,700"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,460,300","1,038,400","886,300","750,700"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,460,300","1,038,400","886,300","750,700"
