,assoc,values
0,they sell,zacks eps averages mean average based survey sell-side analysts follow nielsen .
1,they sell,valuengine raised nielsen sell rating hold rating research report tuesday march 5th .
2,they buy,morgan stanley set 26.00 target price nielsen gave stock buy rating research report tuesday january 8th .
3,they buy,suntrust banks set 28.00 target price nielsen gave stock buy rating research report thursday march 28th .
4,they buy,seven investment analysts rated stock hold rating six given buy rating company stock .
5,they buy,fmr llc increased stake shares nielsen 3.6 fourth quarter .
6,they buy,windacre partnership llc increased stake shares nielsen 112.3 fourth quarter .
7,they buy,bank new york mellon corp increased stake shares nielsen 59.7 third quarter .
8,they buy,finally clarkston capital partners llc increased stake shares nielsen 2.2 first quarter .
9,they sell,11 analysts 17 wall street brokerage firms rate nielsen holdings plc nyse nlsn buy 1 see sell .
10,they buy,getting trading period increased 200 days stock price seen 10.67 average .
11,they sell,investors well sell-side paying close attention actual numbers compare estimates .
12,they buy,average analysts currently strong buy recommendation mean rating 4.76. comparison average recommendation month ago strong buy average rating 4.75. similarly average rating observed 2 months ago strong buy mean numerical rating 4.83 average rating observed 3 months ago strong buy mean numerical rating 4.93 .
13,they sell,analysts assigned mean rating 2.10 1.0 strong buy 5.0 sell .
14,they sell,company spent 707 million trying sell products last quarter result yielding gross income 951 million .
15,they sell,"related news svp corporate controller charlton jeffrey sold 6,337 shares company stock transaction recorded december 3rd 2019. sale performed average price 27.46 total value 173,982. sale deal closes director charlton jeffrey sold 12,210 shares company stock valued 390,207. last 6 months insiders changed ownership shares company stock 0.50 ."
16,they buy,6 17 analysts covering stock rated buy 5 maintained hold recommendation nielsen holdings plc stock .
17,they sell,0 analysts assigned sell rating nlsn stock .
18,they sell,11 analysts 17 wall street brokerage firms rate nielsen holdings plc nyse nlsn buy 1 see sell .
19,they buy,getting trading period increased 200 days stock price seen 90.55 average .
20,they buy,right stock subject 17 analysts evaluations average given company shares buy rating .
21,they sell,latest market expert opinions 1 given underperform rating 0 given sell rating 6 given rating buy better .
22,they sell,"svp corporate controller nielsen holdings plc nlsn sold shares transaction finalized dec 03. similarly pozen robert c sold 12,210 shares organization stock 31.96 apiece racked 390,207 earnings sale ."
