,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"11,412,151","10,883,667","10,695,790","9,973,005"
2,Cost of Revenue,"8,195,513","7,640,005","7,431,582","6,856,062"
3,Gross Profit,"3,216,638","3,243,662","3,264,208","3,116,943"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,135,454","1,052,076","1,056,841","1,031,125"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"9,922,002","9,251,992","8,997,920","8,351,092"
10,Operating Income or Loss,"1,490,149","1,631,675","1,697,870","1,621,913"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-441,671","-231,889","-74,765","-933,526"
13,Earnings Before Interest and Taxes,"1,490,149","1,631,675","1,697,870","1,621,913"
14,Interest Expense,"-478,969","-422,356","-410,217","-405,941"
15,Income Before Tax,"1,048,478","1,399,786","1,623,105","688,387"
16,Income Tax Expense,"258,400","323,859","431,761","207,510"
17,Minority Interest,"1,329,597","1,207,397","1,174,952","1,077,458"
18,Net Income From Continuing Ops,"790,078","1,075,927","1,191,344","480,877"
19,Non-recurring Events,,,,
20,Discontinued Operations,"-457,038","-245,372","-158,262","-53,467"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"159,394","663,618","879,874","269,732"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"159,394","663,618","879,874","269,732"
