,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"5,347,000","4,661,000","6,490,000","10,462,000"
2,Cost of Revenue,"1,267,000","1,063,000","1,294,000","1,719,000"
3,Gross Profit,"4,080,000","3,598,000","5,196,000","8,743,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,879,000","2,295,000","2,586,000","2,622,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"8,236,000","8,044,000","8,849,000","8,405,000"
10,Operating Income or Loss,"-2,889,000","-3,383,000","-2,359,000","2,057,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-2,889,000","-471,000","-1,899,000","379,000"
13,Earnings Before Interest and Taxes,"-2,889,000","-3,383,000","-2,359,000","2,057,000"
14,Interest Expense,"-325,000","-338,000","-341,000","-323,000"
15,Income Before Tax,"-5,778,000","-3,854,000","-4,258,000","2,436,000"
16,Income Tax Expense,"-1,837,000","2,222,000","-1,299,000","744,000"
17,Minority Interest,"1,303,000","1,057,000","1,015,000","115,000"
18,Net Income From Continuing Ops,"-3,941,000","-6,076,000","-2,959,000","1,692,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,"-48,000","682,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"-4,074,000","-6,132,000","-3,056,000","2,317,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"-4,120,000","-6,173,000","-3,056,000","2,317,000"
