,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"4,225,761","3,845,578","3,511,453","3,007,976"
2,Cost of Revenue,"1,793,954","1,664,825","1,555,814","1,290,025"
3,Gross Profit,"2,431,807","2,180,753","1,955,639","1,717,951"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"995,938","920,557","868,351","787,779"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"3,429,406","3,107,758","2,876,491","2,423,268"
10,Operating Income or Loss,"796,355","737,820","634,962","584,708"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-383,116","-520,150","-486,138","-421,792"
13,Earnings Before Interest and Taxes,"796,355","737,820","634,962","584,708"
14,Interest Expense,"-415,842","-361,234","-318,220","-267,855"
15,Income Before Tax,"413,239","217,670","148,824","162,916"
16,Income Tax Expense,"36,263","25,947","44,944","37,713"
17,Minority Interest,"71,941","92,822","54,821","19,766"
18,Net Income From Continuing Ops,"376,976","191,723","103,880","125,203"
19,Non-recurring Events,,,,
20,Discontinued Operations,"-12,427","-6,291","3,353","3,353"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"363,351","183,821","104,824","123,241"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"363,351","183,821","104,824","123,241"
