,0,1,2,3,4
0,Revenue,1/28/2018,1/29/2017,1/31/2016,1/25/2015
1,Total Revenue,"9,714,000","6,910,000","5,010,000","4,682,000"
2,Cost of Revenue,"3,892,000","2,847,000","2,199,000","2,083,000"
3,Gross Profit,"5,822,000","4,063,000","2,811,000","2,599,000"
4,Operating Expenses,,,,
5,Research Development,"1,797,000","1,463,000","1,331,000","1,360,000"
6,Selling General and Administrative,"815,000","663,000","602,000","480,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"6,504,000","4,973,000","4,132,000","3,923,000"
10,Operating Income or Loss,"3,210,000","1,937,000","878,000","759,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-14,000","-32,000","-135,000","-4,000"
13,Earnings Before Interest and Taxes,"3,210,000","1,937,000","878,000","759,000"
14,Interest Expense,"-61,000","-58,000","-47,000","-46,000"
15,Income Before Tax,"3,196,000","1,905,000","743,000","755,000"
16,Income Tax Expense,"149,000","239,000","129,000","124,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"3,047,000","1,666,000","614,000","631,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"3,047,000","1,666,000","614,000","631,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"3,047,000","1,666,000","614,000","631,000"
