,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"37,945,000","34,631,000","35,226,000","33,977,000"
2,Cost of Revenue,"3,884,000","3,707,000","3,659,000","3,441,000"
3,Gross Profit,"34,061,000","30,924,000","31,567,000","30,536,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"21,273,000","19,901,000","20,222,000","22,032,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"25,157,000","23,608,000","23,881,000","25,473,000"
10,Operating Income or Loss,"12,788,000","11,023,000","11,345,000","8,504,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-2,385,000","-2,175,000","-2,850,000","-4,913,000"
13,Earnings Before Interest and Taxes,-,-,-,-
14,Interest Expense,-,-,-,-
15,Income Before Tax,"10,403,000","8,848,000","8,495,000","3,591,000"
16,Income Tax Expense,"4,125,000","2,726,000","2,200,000","-90,000"
17,Minority Interest,-,"1,127,000","1,002,000","1,204,000"
18,Net Income From Continuing Ops,"6,278,000","6,122,000","6,295,000","3,681,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"-19,000","1,000","-16,000","-14,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"6,154,000","5,979,000","6,127,000","3,467,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"5,631,000","5,508,000","5,671,000","3,152,000"
