,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"11,127,000","10,561,000","10,163,000","9,968,000"
2,Cost of Revenue,"6,300,000","5,988,000","5,863,000","5,812,000"
3,Gross Profit,"4,827,000","4,573,000","4,300,000","4,156,000"
4,Operating Expenses,,,,
5,Research Development,"655,000","617,000","567,000","589,000"
6,Selling General and Administrative,"2,617,000","2,445,000","2,513,000","2,832,000"
7,Non Recurring,-,-,-,-
8,Others,"-90,000","-90,000","-90,000","-90,000"
9,Total Operating Expenses,"9,318,000","9,050,000","8,943,000","9,233,000"
10,Operating Income or Loss,"1,809,000","1,511,000","1,220,000","735,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-62,000","-294,000","3,734,000","-307,000"
13,Earnings Before Interest and Taxes,"1,809,000","1,511,000","1,220,000","735,000"
14,Interest Expense,"-45,000","-85,000","-89,000","-146,000"
15,Income Before Tax,"1,693,000","1,217,000","4,954,000","428,000"
16,Income Tax Expense,"63,000","493,000","-12,000","35,000"
17,Minority Interest,-,"-8,000","-10,000","19,000"
18,Net Income From Continuing Ops,"1,630,000","724,000","4,966,000","393,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"-6,000","-7,000","-1,000","575,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,624,000","717,000","4,965,000","968,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,624,000","717,000","4,965,000","968,000"
