,assoc,values
0,they buy,revenue increased 55 2017. baidu filed ipo iqiyi planning raise 1.5 billion could value 10 billion .
1,they buy,revenue increased 55 last year division generated significant operating loss .
2,they sell,check latest news stock analysis baidu visit finstead type bidu news bidu buy sell .
3,they buy,perhaps good time buy 2. bidu quarterly revenue growth 23.80 higher industry sector average revenue growth 9.42 5.35 respectively .
4,they buy,4. bidu average analyst rating buy .
5,they sell,thoughts bidu liked analysis check buy sell stock guides stocks .
6,they sell,among 6 analysts covering baidu nasdaq bidu 5 buy rating 0 sell 1 hold .
7,they buy,rating downgraded credit suisse neutral friday may 18. sunday may 20 stock rating maintained oppenheimer buy .
8,they buy,keybanc capital markets upgraded baidu inc. nasdaq bidu monday july 9 overweight rating .
9,they buy,important recent baidu inc. nasdaq bidu news published seekingalpha.com released baidu value investors step october 08 2018 also seekingalpha.com published article titled market mispricing baidu strong fundamentals core business seekingalpha.com published google takes offensive china search return october 19 2018. interesting news baidu inc. nasdaq bidu released seekingalpha.com article baidu hitting buy zone publication date october 23 2018 .
10,they buy,keycorp currently buy rating 297.00 price target stock .
11,they buy,bidaskclub upgraded shares baidu hold rating buy rating research note thursday july 12th .
12,they sell,zacks investment research cut shares baidu hold rating sell rating research note wednesday july 11th .
13,they buy,deutsche bank set 337.00 price target shares baidu gave company buy rating research note wednesday august 1st .
14,they sell,finally valuengine upgraded shares baidu sell rating hold rating research note friday september 21st .
15,they sell,two equities research analysts rated stock sell rating six issued hold rating fifteen given buy rating one issued strong buy rating company .
16,they buy,baidu consensus rating buy average price target 290.64 .
17,they buy,"federated investors inc. pa bought new position shares baidu second quarter valued 108,000 ."
18,they buy,"flagship harbor advisors llc bought new position baidu second quarter worth 119,000 ."
19,they buy,bartlett co. llc increased position baidu 71.0 second quarter .
20,they buy,"centaurus financial inc. bought new position baidu second quarter worth 150,000 ."
21,they buy,finally central trust co increased position baidu 116.0 third quarter .
22,they sell,bidaskclub cut baidu sell rating strong sell rating report saturday october 6th .
23,they sell,zacks investment research cut baidu hold rating sell rating report monday october 8th .
24,they sell,valuengine cut baidu hold rating sell rating report thursday september 6th .
25,they buy,ubs group set 280.00 price target baidu gave company buy rating report tuesday october 9th .
26,they buy,finally deutsche bank set 337.00 price target baidu gave company buy rating report wednesday august 1st .
27,they sell,two research analysts rated stock sell rating six given hold rating fifteen given buy rating one given strong buy rating company stock .
28,they buy,company currently consensus rating buy consensus target price 290.64 .
29,they buy,"tcw group inc. bought new position shares baidu 2nd quarter worth 29,277,000 ."
30,they buy,"finally glen point capital llp bought new position shares baidu 2nd quarter worth 2,017,000 ."
