,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"3,776,200","3,493,100","3,394,800","3,297,600"
2,Cost of Revenue,"2,046,600","1,897,600","1,883,000","1,844,700"
3,Gross Profit,"1,729,600","1,595,500","1,511,800","1,452,900"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"957,700","866,400","837,600","806,700"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"3,004,300","2,764,000","2,720,600","2,651,400"
10,Operating Income or Loss,"771,900","729,100","674,200","646,200"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-79,200","-23,200","-47,700","-21,300"
13,Earnings Before Interest and Taxes,"771,900","729,100","674,200","646,200"
14,Interest Expense,"-52,600","-27,700","-30,500","-27,400"
15,Income Before Tax,"692,700","705,900","635,400","624,900"
16,Income Tax Expense,"-50,700","246,900","225,000","211,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"743,400","459,000","410,400","413,900"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"743,400","459,000","410,400","413,900"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"743,400","459,000","410,400","413,900"
