,0,1,2,3,4
0,Revenue,4/30/2018,4/30/2017,4/30/2016,4/30/2015
1,Total Revenue,"7,357,100","7,392,300","7,811,200","5,692,700"
2,Cost of Revenue,"4,517,100","4,551,300","4,831,200","3,717,800"
3,Gross Profit,"2,840,000","2,841,000","2,980,000","1,974,900"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,370,800","1,390,700","1,510,300","1,031,300"
7,Non Recurring,-,-,-,-
8,Others,100,"-4,300","-32,100","-2,100"
9,Total Operating Expenses,"6,094,800","6,145,000","6,517,800","4,856,700"
10,Operating Income or Loss,"1,262,300","1,247,300","1,293,400","836,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-401,300","-368,900","-315,500","-313,000"
13,Earnings Before Interest and Taxes,"1,262,300","1,247,300","1,293,400","836,000"
14,Interest Expense,"-174,100","-163,100","-171,100","-79,900"
15,Income Before Tax,"861,000","878,400","977,900","523,000"
16,Income Tax Expense,"-477,600","286,100","289,200","178,100"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,338,600","592,300","688,700","344,900"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,338,600","592,300","688,700","344,900"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,338,600","592,300","688,700","344,900"
