,0,1,2,3,4
0,Revenue,9/30/2018,9/30/2017,9/30/2016,9/30/2015
1,Total Revenue,"3,811,126","3,504,286","3,171,411","2,707,115"
2,Cost of Revenue,"1,612,736","1,495,038","1,411,599","1,239,808"
3,Gross Profit,"2,198,390","2,009,248","1,759,812","1,467,307"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"442,495","409,075","356,858","302,924"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"2,127,685","1,993,339","1,845,902","1,596,951"
10,Operating Income or Loss,"1,683,441","1,510,947","1,325,509","1,110,164"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-697,884","-673,517","-557,393","-473,340"
13,Earnings Before Interest and Taxes,"1,683,441","1,510,947","1,325,509","1,110,164"
14,Interest Expense,"-663,008","-602,589","-483,850","-418,785"
15,Income Before Tax,"985,557","837,430","768,116","636,824"
16,Income Tax Expense,"24,021","208,889","181,702","189,612"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"961,536","628,541","586,414","447,212"
19,Non-recurring Events,,,,
20,Discontinued Operations,"-4,474","-31,654","-31,654","-31,654"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"957,062","596,887","586,414","447,212"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"900,914","437,630","583,414","443,847"
