,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"79,591,000","79,139,000","79,919,000","81,741,000"
2,Cost of Revenue,"42,655,000","42,196,000","41,402,000","41,057,000"
3,Gross Profit,"36,936,000","36,943,000","38,517,000","40,684,000"
4,Operating Expenses,,,,
5,Research Development,"5,379,000","5,590,000","5,726,000","5,247,000"
6,Selling General and Administrative,"20,325,000","20,900,000","20,225,000","19,589,000"
7,Non Recurring,-,-,-,-
8,Others,"-998,000","-1,445,000","-1,604,000","-669,000"
9,Total Operating Expenses,"67,361,000","67,241,000","65,749,000","65,224,000"
10,Operating Income or Loss,"12,230,000","11,898,000","14,170,000","16,517,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-888,000","-498,000","-1,840,000","-572,000"
13,Earnings Before Interest and Taxes,"12,230,000","11,898,000","14,170,000","16,517,000"
14,Interest Expense,"-723,000","-615,000","-630,000","-468,000"
15,Income Before Tax,"11,342,000","11,400,000","12,330,000","15,945,000"
16,Income Tax Expense,"2,619,000","5,642,000","449,000","2,581,000"
17,Minority Interest,"134,000","131,000","146,000","162,000"
18,Net Income From Continuing Ops,"8,723,000","5,758,000","11,881,000","13,364,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"5,000","-5,000","-9,000","-174,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"8,728,000","5,753,000","11,872,000","13,190,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"8,728,000","5,753,000","11,872,000","13,190,000"
