,0,1,2,3,4
0,Revenue,6/30/2018,6/30/2017,6/30/2016,6/30/2015
1,Total Revenue,"13,325,800","12,379,800","11,667,800","10,938,500"
2,Cost of Revenue,"7,568,100","7,043,600","6,628,700","6,220,700"
3,Gross Profit,"5,757,700","5,336,200","5,039,100","4,717,800"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"2,942,700","2,704,100","2,588,800","2,507,600"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"10,785,300","9,973,900","9,429,100","8,935,200"
10,Operating Income or Loss,"2,540,500","2,405,900","2,238,700","2,003,300"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-369,400","125,200","-4,000","67,400"
13,Earnings Before Interest and Taxes,"2,540,500","2,405,900","2,238,700","2,003,300"
14,Interest Expense,"-102,700","-80,000","-56,200","-6,500"
15,Income Before Tax,"2,171,100","2,531,100","2,234,700","2,070,700"
16,Income Tax Expense,"550,300","797,700","741,300","694,200"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,620,800","1,733,400","1,493,400","1,376,500"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-900,"76,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,620,800","1,733,400","1,492,500","1,452,500"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,620,800","1,733,400","1,492,500","1,452,500"
