,0,1,2,3,4
0,Revenue,1/31/2019,1/31/2018,1/31/2017,1/31/2016
1,Total Revenue,"13,282,000","10,540,000","8,437,000","6,667,216"
2,Cost of Revenue,"3,451,000","2,773,000","2,234,000","1,654,548"
3,Gross Profit,"9,831,000","7,767,000","6,203,000","5,012,668"
4,Operating Expenses,,,,
5,Research Development,"1,886,000","1,553,000","1,208,000","946,300"
6,Selling General and Administrative,"7,383,000","5,760,000","4,777,000","3,988,062"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"12,720,000","10,086,000","8,219,000","6,588,910"
10,Operating Income or Loss,"562,000","454,000","218,000","78,306"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"421,000","-34,000","-39,000","-14,027"
13,Earnings Before Interest and Taxes,"562,000","454,000","218,000","78,306"
14,Interest Expense,"-154,000","-87,000","-89,000","-72,485"
15,Income Before Tax,"983,000","420,000","179,000","64,279"
16,Income Tax Expense,"-127,000","60,000","-144,000","111,705"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,110,000","360,000","323,000","-47,426"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,110,000","360,000","323,000","-47,426"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,110,000","360,000","323,000","-47,426"
