,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"31,856,000","35,410,000","41,863,000","44,294,000"
2,Cost of Revenue,"11,770,000","13,256,000","16,465,000","17,482,000"
3,Gross Profit,"20,086,000","22,154,000","25,398,000","26,812,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"10,307,000","12,496,000","15,262,000","16,427,000"
7,Non Recurring,-,-,-,-
8,Others,"-29,000","48,000","274,000","145,000"
9,Total Operating Expenses,"22,048,000","25,800,000","32,001,000","34,054,000"
10,Operating Income or Loss,"9,808,000","9,610,000","9,862,000","10,240,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,458,000","-2,868,000","-1,726,000","-635,000"
13,Earnings Before Interest and Taxes,"9,808,000","9,610,000","9,862,000","10,240,000"
14,Interest Expense,"-919,000","-841,000","-733,000","-856,000"
15,Income Before Tax,"8,350,000","6,742,000","8,136,000","9,605,000"
16,Income Tax Expense,"1,623,000","5,560,000","1,586,000","2,239,000"
17,Minority Interest,"2,077,000","1,905,000","158,000","210,000"
18,Net Income From Continuing Ops,"6,727,000","1,182,000","6,550,000","7,366,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"-251,000","101,000","101,000","101,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"6,434,000","1,248,000","6,527,000","7,351,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"6,434,000","1,248,000","6,527,000","7,351,000"
